SAGA,TFIID group	 Gene ID	 Common Name
TFIID-dominated	YBR063C	
TFIID-dominated	YBR064W	
TFIID-dominated	YBR065C	ECM2
TFIID-dominated	YBR066C	NRG2
TFIID-dominated	YBR067C	TIP1
SAGA-dominated	YBR068C	BAP2
TFIID-dominated	YBR069C	TAT1
TFIID-dominated	YBR070C	
SAGA-dominated	YBR071W	
SAGA-dominated	YBR072W	HSP26
TFIID-dominated	YBR073W	RDH54
TFIID-dominated	YBR074W	
TFIID-dominated	YBR075W	
TFIID-dominated	YBR076W	ECM8
TFIID-dominated	YBR077C	
SAGA-dominated	YBR078W	ECM33
TFIID-dominated	YBR079C	RPG1
TFIID-dominated	YBR080C	SEC18
TFIID-dominated	YBR081C	SPT7
TFIID-dominated	YBR082C	UBC4
SAGA-dominated	YBR083W	TEC1
TFIID-dominated	YBR084C-A	RPL19A
TFIID-dominated	YBR084W	MIS1
SAGA-dominated	YBR085W	AAC3
TFIID-dominated	YBR086C	IST2
TFIID-dominated	YBR087W	RFC5
SAGA-dominated	YBR088C	POL30
SAGA-dominated	YBR089W	
TFIID-dominated	YBR090C	
TFIID-dominated	YBR090C-A	
TFIID-dominated	YBR091C	MRS5
SAGA/TFIID	YBR092C	PHO3
SAGA/TFIID	YBR093C	PHO5
TFIID-dominated	YBR094W	
TFIID-dominated	YBR095C	RXT2
TFIID-dominated	YBR096W	
no call	YBR097W	VPS15
TFIID-dominated	YBR098W	MMS4
TFIID-dominated	YBR099C	
TFIID-dominated	YBR100W	
TFIID-dominated	YBR101C	
SAGA-dominated	YBR102C	EXO84
TFIID-dominated	YBR103W	SIF2
TFIID-dominated	YBR104W	YMC2
SAGA-dominated	YBR105C	VID24
TFIID-dominated	YBR106W	PHO88
TFIID-dominated	YBR107C	IML3
TFIID-dominated	YBR108W	
TFIID-dominated	YBR109C	CMD1
TFIID-dominated	YBR110W	ALG1
TFIID-dominated	YBR111C	YSA1
TFIID-dominated	YBR112C	CYC8
TFIID-dominated	YBR113W	
TFIID-dominated	YBR114W	RAD16
SAGA-dominated	YBR115C	LYS2
no call	YBR116C	
SAGA-dominated	YBR117C	TKL2
SAGA-dominated	YBR118W	TEF2
TFIID-dominated	YBR119W	MUD1
TFIID-dominated	YBR120C	CBP6
TFIID-dominated	YBR121C	GRS1
TFIID-dominated	YBR122C	MRPL36
TFIID-dominated	YBR123C	TFC1
TFIID-dominated	YBR124W	
TFIID-dominated	YBR125C	PTC4
SAGA-dominated	YBR126C	TPS1
TFIID-dominated	YBR127C	VMA2
no call	YBR128C	APG14
TFIID-dominated	YBR129C	OPY1
TFIID-dominated	YBR130C	SHE3
TFIID-dominated	YBR131W	CCZ1
SAGA-dominated	YBR132C	AGP2
TFIID-dominated	YBR133C	HSL7
TFIID-dominated	YBR134W	
TFIID-dominated	YBR135W	CKS1
TFIID-dominated	YBR136W	MEC1
TFIID-dominated	YBR137W	
TFIID-dominated	YBR138C	HDR1
SAGA-dominated	YBR139W	
TFIID-dominated	YBR140C	IRA1
no call	YBR141C	
TFIID-dominated	YBR142W	MAK5
TFIID-dominated	YBR143C	SUP45
TFIID-dominated	YBR144C	
SAGA-dominated	YBR145W	ADH5
TFIID-dominated	YBR146W	MRPS9
SAGA-dominated	YBR147W	
no call	YBR148W	YSW1
SAGA-dominated	YBR149W	ARA1
TFIID-dominated	YBR150C	TBS1
TFIID-dominated	YBR151W	APD1
TFIID-dominated	YBR152W	SPP381
TFIID-dominated	YBR153W	RIB7
TFIID-dominated	YBR154C	RPB5
TFIID-dominated	YBR155W	CNS1
TFIID-dominated	YBR156C	SLI15
SAGA-dominated	YBR157C	ICS2
SAGA-dominated	YBR158W	AMN1
TFIID-dominated	YBR159W	
TFIID-dominated	YBR160W	CDC28
TFIID-dominated	YBR161W	
TFIID-dominated	YBR162C	TOS1
TFIID-dominated	YBR162W-A	YSY6
TFIID-dominated	YBR163W	DEM1
TFIID-dominated	YBR164C	ARL1
TFIID-dominated	YBR165W	UBS1
TFIID-dominated	YBR166C	TYR1
TFIID-dominated	YBR167C	POP7
TFIID-dominated	YBR168W	
SAGA-dominated	YBR169C	SSE2
TFIID-dominated	YBR170C	NPL4
TFIID-dominated	YBR171W	SEC66
TFIID-dominated	YBR172C	SMY2
TFIID-dominated	YBR173C	UMP1
TFIID-dominated	YBR174C	
TFIID-dominated	YBR175W	SWD3
TFIID-dominated	YBR176W	ECM31
TFIID-dominated	YBR177C	EHT1
TFIID-dominated	YBR178W	
TFIID-dominated	YBR179C	FZO1
no call	YBR180W	DTR1
TFIID-dominated	YBR181C	RPS6B
SAGA-dominated	YBR182C	SMP1
SAGA-dominated	YBR183W	YPC1
TFIID-dominated	YBR184W	
TFIID-dominated	YBR185C	MBA1
no call	YBR186W	PCH2
TFIID-dominated	YBR187W	
TFIID-dominated	YBR188C	NTC20
TFIID-dominated	YBR189W	RPS9B
no call	YBR190W	
TFIID-dominated	YBR191W	RPL21A
TFIID-dominated	YBR192W	RIM2
TFIID-dominated	YBR193C	MED8
TFIID-dominated	YBR194W	
TFIID-dominated	YBR195C	MSI1
TFIID-dominated	YBR196C	PGI1
TFIID-dominated	YBR197C	
TFIID-dominated	YBR198C	TAF5
TFIID-dominated	YBR199W	KTR4
TFIID-dominated	YBR200W	BEM1
TFIID-dominated	YBR201W	DER1
TFIID-dominated	YBR202W	CDC47
TFIID-dominated	YBR203W	
TFIID-dominated	YBR204C	
TFIID-dominated	YBR205W	KTR3
TFIID-dominated	YBR206W	
TFIID-dominated	YBR207W	FTH1
SAGA-dominated	YBR208C	DUR1,2
no call	YBR209W	
TFIID-dominated	YBR210W	
TFIID-dominated	YBR211C	AME1
TFIID-dominated	YBR212W	NGR1
TFIID-dominated	YBR213W	MET8
TFIID-dominated	YBR214W	SDS24
TFIID-dominated	YBR215W	HPC2
TFIID-dominated	YBR216C	
TFIID-dominated	YBR217W	APG12
SAGA-dominated	YBR218C	PYC2
TFIID-dominated	YBR219C	
TFIID-dominated	YBR220C	
TFIID-dominated	YBR221C	PDB1
TFIID-dominated	YBR222C	FAT2
TFIID-dominated	YBR223C	TDP1
no call	YBR224W	
TFIID-dominated	YBR225W	
TFIID-dominated	YBR226C	
TFIID-dominated	YBR227C	MCX1
TFIID-dominated	YBR228W	SLX1
TFIID-dominated	YBR229C	ROT2
TFIID-dominated	YBR230C	
TFIID-dominated	YBR231C	AOR1
TFIID-dominated	YBR232C	
TFIID-dominated	YBR233W	PBP2
TFIID-dominated	YBR234C	ARC40
TFIID-dominated	YBR235W	
TFIID-dominated	YBR236C	ABD1
no call	YBR237W	PRP5
TFIID-dominated	YBR238C	
TFIID-dominated	YBR239C	
SAGA/TFIID	YBR240C	THI2
TFIID-dominated	YBR241C	
TFIID-dominated	YBR242W	
TFIID-dominated	YBR243C	ALG7
SAGA-dominated	YBR244W	GPX2
TFIID-dominated	YBR245C	ISW1
TFIID-dominated	YBR246W	
TFIID-dominated	YBR247C	ENP1
SAGA-dominated	YBR248C	HIS7
SAGA/TFIID	YBR249C	ARO4
TFIID-dominated	YBR250W	
TFIID-dominated	YBR251W	MRPS5
TFIID-dominated	YBR252W	DUT1
TFIID-dominated	YBR253W	SRB6
TFIID-dominated	YBR254C	TRS20
TFIID-dominated	YBR255W	
TFIID-dominated	YBR256C	RIB5
TFIID-dominated	YBR257W	POP4
TFIID-dominated	YBR258C	SHG1
TFIID-dominated	YBR259W	
TFIID-dominated	YBR260C	RGD1
TFIID-dominated	YBR261C	
TFIID-dominated	YBR262C	
TFIID-dominated	YBR263W	SHM1
TFIID-dominated	YBR264C	YPT10
SAGA/TFIID	YBR265W	TSC10
TFIID-dominated	YBR266C	
TFIID-dominated	YBR267W	
TFIID-dominated	YBR268W	MRPL37
TFIID-dominated	YBR269C	
TFIID-dominated	YBR270C	
TFIID-dominated	YBR271W	
TFIID-dominated	YBR272C	HSM3
