SAGA,TFIID group	 Gene ID	 Common Name
TFIID-dominated	YDR530C	APA2
TFIID-dominated	YDR531W	
TFIID-dominated	YDR532C	
SAGA-dominated	YDR533C	
no call	YDR534C	FIT1
TFIID-dominated	YDR535C	
TFIID-dominated	YDR536W	STL1
TFIID-dominated	YDR537C	
TFIID-dominated	YDR538W	PAD1
SAGA/TFIID	YDR539W	
TFIID-dominated	YDR540C	
TFIID-dominated	YDR541C	
SAGA/TFIID	YDR542W	
no call	YDR543C	
TFIID-dominated	YDR544C	
TFIID-dominated	YDR545W	YRF1-1
TFIID-dominated	YEL001C	
TFIID-dominated	YEL002C	WBP1
TFIID-dominated	YEL003W	GIM4
TFIID-dominated	YEL004W	YEA4
TFIID-dominated	YEL005C	VAB2
TFIID-dominated	YEL006W	
TFIID-dominated	YEL007W	
TFIID-dominated	YEL008W	
TFIID-dominated	YEL009C	GCN4
no call	YEL010W	
SAGA-dominated	YEL011W	GLC3
TFIID-dominated	YEL012W	UBC8
TFIID-dominated	YEL013W	VAC8
TFIID-dominated	YEL014C	
TFIID-dominated	YEL015W	DCP3
TFIID-dominated	YEL016C	
SAGA-dominated	YEL017C-A	PMP2
TFIID-dominated	YEL017W	GTT3
TFIID-dominated	YEL018W	EAF5
TFIID-dominated	YEL019C	MMS21
TFIID-dominated	YEL020C	
TFIID-dominated	YEL021W	URA3
TFIID-dominated	YEL022W	GEA2
TFIID-dominated	YEL023C	
TFIID-dominated	YEL024W	RIP1
TFIID-dominated	YEL025C	SRI1
TFIID-dominated	YEL026W	SNU13
TFIID-dominated	YEL027W	CUP5
TFIID-dominated	YEL028W	
TFIID-dominated	YEL029C	BUD16
TFIID-dominated	YEL030W	ECM10
TFIID-dominated	YEL031W	SPF1
TFIID-dominated	YEL032W	MCM3
TFIID-dominated	YEL033W	
TFIID-dominated	YEL034W	HYP2
TFIID-dominated	YEL035C	UTR5
TFIID-dominated	YEL036C	ANP1
TFIID-dominated	YEL037C	RAD23
TFIID-dominated	YEL038W	UTR4
TFIID-dominated	YEL039C	CYC7
SAGA-dominated	YEL040W	UTR2
TFIID-dominated	YEL041W	
TFIID-dominated	YEL042W	GDA1
TFIID-dominated	YEL043W	
TFIID-dominated	YEL044W	IES6
TFIID-dominated	YEL045C	
TFIID-dominated	YEL046C	GLY1
TFIID-dominated	YEL047C	
TFIID-dominated	YEL048C	
TFIID-dominated	YEL049W	PAU2
TFIID-dominated	YEL050C	RML2
TFIID-dominated	YEL051W	VMA8
TFIID-dominated	YEL052W	AFG1
TFIID-dominated	YEL053C	MAK10
TFIID-dominated	YEL054C	RPL12A
TFIID-dominated	YEL055C	POL5
TFIID-dominated	YEL056W	HAT2
TFIID-dominated	YEL057C	
TFIID-dominated	YEL058W	PCM1
TFIID-dominated	YEL059C-A	SOM1
TFIID-dominated	YEL059W	
SAGA-dominated	YEL060C	PRB1
TFIID-dominated	YEL061C	CIN8
TFIID-dominated	YEL062W	NPR2
SAGA-dominated	YEL063C	CAN1
TFIID-dominated	YEL064C	
TFIID-dominated	YEL065W	SIT1
TFIID-dominated	YEL066W	HPA3
TFIID-dominated	YEL067C	
TFIID-dominated	YEL068C	
SAGA/TFIID	YEL069C	HXT13
TFIID-dominated	YEL070W	
SAGA-dominated	YEL071W	DLD3
TFIID-dominated	YEL072W	RMD6
TFIID-dominated	YEL073C	
TFIID-dominated	YEL074W	
TFIID-dominated	YEL075C	
TFIID-dominated	YEL076C	
TFIID-dominated	YEL076C-A	
TFIID-dominated	YEL076W-C	
TFIID-dominated	YEL077C	
SAGA/TFIID	YER001W	MNN1
TFIID-dominated	YER002W	NOP16
SAGA/TFIID	YER003C	PMI40
TFIID-dominated	YER004W	
TFIID-dominated	YER005W	YND1
TFIID-dominated	YER006W	NUG1
TFIID-dominated	YER007C-A	
TFIID-dominated	YER007W	PAC2
TFIID-dominated	YER008C	SEC3
TFIID-dominated	YER009W	NTF2
TFIID-dominated	YER010C	
SAGA/TFIID	YER011W	TIR1
TFIID-dominated	YER012W	PRE1
TFIID-dominated	YER013W	PRP22
TFIID-dominated	YER014W	HEM14
TFIID-dominated	YER015W	FAA2
TFIID-dominated	YER016W	BIM1
TFIID-dominated	YER017C	AFG3
TFIID-dominated	YER018C	SPC25
TFIID-dominated	YER019C-A	SBH2
TFIID-dominated	YER019W	ISC1
SAGA-dominated	YER020W	GPA2
TFIID-dominated	YER021W	RPN3
TFIID-dominated	YER022W	SRB4
TFIID-dominated	YER023W	PRO3
SAGA-dominated	YER024W	YAT2
TFIID-dominated	YER025W	GCD11
TFIID-dominated	YER026C	CHO1
TFIID-dominated	YER027C	GAL83
TFIID-dominated	YER028C	MIG3
TFIID-dominated	YER029C	SMB1
TFIID-dominated	YER030W	
TFIID-dominated	YER031C	YPT31
TFIID-dominated	YER032W	FIR1
TFIID-dominated	YER033C	ZRG8
TFIID-dominated	YER034W	
SAGA-dominated	YER035W	EDC2
TFIID-dominated	YER036C	
SAGA-dominated	YER037W	PHM8
TFIID-dominated	YER038C	KRE29
TFIID-dominated	YER039C	HVG1
no call	YER040W	GLN3
TFIID-dominated	YER041W	YEN1
TFIID-dominated	YER042W	MXR1
TFIID-dominated	YER043C	SAH1
TFIID-dominated	YER044C	ERG28
TFIID-dominated	YER044C-A	MEI4
TFIID-dominated	YER045C	ACA1
TFIID-dominated	YER046W	SPO73
TFIID-dominated	YER047C	SAP1
TFIID-dominated	YER048C	CAJ1
TFIID-dominated	YER049W	
TFIID-dominated	YER050C	RSM18
TFIID-dominated	YER051W	
SAGA-dominated	YER052C	HOM3
SAGA-dominated	YER053C	
TFIID-dominated	YER054C	GIP2
TFIID-dominated	YER055C	HIS1
SAGA-dominated	YER056C	FCY2
TFIID-dominated	YER056C-A	RPL34A
TFIID-dominated	YER057C	HMF1
TFIID-dominated	YER058W	PET117
TFIID-dominated	YER059W	PCL6
TFIID-dominated	YER060W	FCY21
no call	YER060W-A	FCY22
TFIID-dominated	YER061C	CEM1
SAGA-dominated	YER062C	HOR2
TFIID-dominated	YER063W	THO1
SAGA-dominated	YER064C	
TFIID-dominated	YER065C	ICL1
SAGA-dominated	YER066C-A	
TFIID-dominated	YER066W	
SAGA-dominated	YER067W	
TFIID-dominated	YER068W	MOT2
SAGA-dominated	YER069W	ARG5,6
SAGA-dominated	YER070W	RNR1
TFIID-dominated	YER071C	
TFIID-dominated	YER072W	VTC1
SAGA-dominated	YER073W	ALD5
TFIID-dominated	YER074W	RPS24A
TFIID-dominated	YER075C	PTP3
TFIID-dominated	YER076C	
TFIID-dominated	YER077C	
TFIID-dominated	YER078C	
TFIID-dominated	YER079W	
TFIID-dominated	YER080W	
TFIID-dominated	YER081W	SER3
TFIID-dominated	YER082C	UTP7
TFIID-dominated	YER083C	RMD7
no call	YER084W	
no call	YER085C	
TFIID-dominated	YER086W	ILV1
TFIID-dominated	YER087C-A	SBH1
TFIID-dominated	YER087W	
TFIID-dominated	YER088C	DOT6
TFIID-dominated	YER089C	PTC2
TFIID-dominated	YER090W	TRP2
SAGA-dominated	YER091C	MET6
TFIID-dominated	YER092W	IES5
TFIID-dominated	YER093C	TSC11
TFIID-dominated	YER093C-A	
TFIID-dominated	YER094C	PUP3
TFIID-dominated	YER095W	RAD51
TFIID-dominated	YER096W	SHC1
TFIID-dominated	YER097W	
no call	YER098W	UBP9
TFIID-dominated	YER099C	PRS2
TFIID-dominated	YER100W	UBC6
TFIID-dominated	YER101C	AST2
TFIID-dominated	YER102W	RPS8B
SAGA-dominated	YER103W	SSA4
TFIID-dominated	YER104W	RTT105
TFIID-dominated	YER105C	NUP157
TFIID-dominated	YER106W	MAM1
TFIID-dominated	YER107C	GLE2
TFIID-dominated	YER108C	
TFIID-dominated	YER109C	FLO8
TFIID-dominated	YER110C	KAP123
TFIID-dominated	YER111C	SWI4
TFIID-dominated	YER112W	LSM4
TFIID-dominated	YER113C	
TFIID-dominated	YER114C	BOI2
TFIID-dominated	YER115C	SPR6
TFIID-dominated	YER116C	SLX8
TFIID-dominated	YER117W	RPL23B
TFIID-dominated	YER118C	SHO1
TFIID-dominated	YER119C	
TFIID-dominated	YER119C-A	
TFIID-dominated	YER120W	SCS2
SAGA-dominated	YER121W	
TFIID-dominated	YER122C	GLO3
TFIID-dominated	YER123W	YCK3
SAGA-dominated	YER124C	DSE1
TFIID-dominated	YER125W	RSP5
TFIID-dominated	YER126C	NSA2
TFIID-dominated	YER127W	LCP5
TFIID-dominated	YER128W	
TFIID-dominated	YER129W	PAK1
SAGA-dominated	YER130C	
TFIID-dominated	YER131W	RPS26B
TFIID-dominated	YER132C	PMD1
TFIID-dominated	YER133W	GLC7
TFIID-dominated	YER134C	
no call	YER135C	
TFIID-dominated	YER136W	GDI1
TFIID-dominated	YER137C	
SAGA-dominated	YER138C	
TFIID-dominated	YER139C	
TFIID-dominated	YER140W	
TFIID-dominated	YER141W	COX15
TFIID-dominated	YER142C	MAG1
TFIID-dominated	YER143W	DDI1
TFIID-dominated	YER144C	UBP5
TFIID-dominated	YER145C	FTR1
TFIID-dominated	YER146W	LSM5
TFIID-dominated	YER147C	SCC4
TFIID-dominated	YER148W	SPT15
TFIID-dominated	YER149C	PEA2
SAGA-dominated	YER150W	SPI1
TFIID-dominated	YER151C	UBP3
TFIID-dominated	YER152C	
TFIID-dominated	YER153C	PET122
TFIID-dominated	YER154W	OXA1
TFIID-dominated	YER155C	BEM2
TFIID-dominated	YER156C	
TFIID-dominated	YER157W	COG3
SAGA-dominated	YER158C	
SAGA-dominated	YER159C	BUR6
SAGA-dominated	YER160C	
TFIID-dominated	YER161C	SPT2
TFIID-dominated	YER162C	RAD4
TFIID-dominated	YER163C	
TFIID-dominated	YER164W	CHD1
TFIID-dominated	YER165W	PAB1
TFIID-dominated	YER166W	DNF1
TFIID-dominated	YER167W	BCK2
TFIID-dominated	YER168C	CCA1
TFIID-dominated	YER169W	RPH1
TFIID-dominated	YER170W	ADK2
TFIID-dominated	YER171W	RAD3
TFIID-dominated	YER172C	BRR2
TFIID-dominated	YER173W	RAD24
TFIID-dominated	YER174C	GRX4
SAGA-dominated	YER175C	TMT1
TFIID-dominated	YER176W	ECM32
SAGA/TFIID	YER177W	BMH1
TFIID-dominated	YER178W	PDA1
TFIID-dominated	YER179W	DMC1
TFIID-dominated	YER180C	ISC10
no call	YER181C	
TFIID-dominated	YER182W	
TFIID-dominated	YER183C	FAU1
TFIID-dominated	YER184C	RTC1
SAGA/TFIID	YER185W	
TFIID-dominated	YER186C	
TFIID-dominated	YER187W	
SAGA/TFIID	YER188W	
TFIID-dominated	YER189W	
TFIID-dominated	YER190W	YRF1-2
TFIID-dominated	YFL001W	DEG1
TFIID-dominated	YFL002C	SPB4
SAGA-dominated	YFL002W-A	
TFIID-dominated	YFL003C	MSH4
TFIID-dominated	YFL004W	VTC2
TFIID-dominated	YFL005W	SEC4
TFIID-dominated	YFL006W	
TFIID-dominated	YFL007W	BLM3
SAGA-dominated	YFL008W	SMC1
TFIID-dominated	YFL009W	CDC4
TFIID-dominated	YFL010C	WWM1
TFIID-dominated	YFL011W	HXT10
TFIID-dominated	YFL011W-A	
no call	YFL012W	
TFIID-dominated	YFL013C	IES1
TFIID-dominated	YFL013W-A	
no call	YFL014W	HSP12
TFIID-dominated	YFL015C	
TFIID-dominated	YFL016C	MDJ1
TFIID-dominated	YFL017C	GNA1
TFIID-dominated	YFL018C	LPD1
TFIID-dominated	YFL018W-A	
TFIID-dominated	YFL019C	
TFIID-dominated	YFL020C	PAU5
SAGA-dominated	YFL021W	GAT1
TFIID-dominated	YFL022C	FRS2
TFIID-dominated	YFL023W	BUD27
no call	YFL024C	EPL1
TFIID-dominated	YFL025C	BST1
TFIID-dominated	YFL026W	STE2
TFIID-dominated	YFL027C	GYP8
TFIID-dominated	YFL028C	CAF16
no call	YFL029C	CAK1
TFIID-dominated	YFL030W	
TFIID-dominated	YFL031W	HAC1
TFIID-dominated	YFL032W	
no call	YFL033C	RIM15
TFIID-dominated	YFL034C-A	RPL22B
TFIID-dominated	YFL034W	
TFIID-dominated	YFL035C	
TFIID-dominated	YFL035C-A	
TFIID-dominated	YFL035C-B	
TFIID-dominated	YFL036W	RPO41
TFIID-dominated	YFL037W	TUB2
TFIID-dominated	YFL038C	YPT1
TFIID-dominated	YFL039C	ACT1
no call	YFL040W	
TFIID-dominated	YFL041W	FET5
TFIID-dominated	YFL042C	
TFIID-dominated	YFL043C	
TFIID-dominated	YFL044C	
SAGA/TFIID	YFL045C	SEC53
TFIID-dominated	YFL046W	
TFIID-dominated	YFL047W	RGD2
TFIID-dominated	YFL048C	EMP47
TFIID-dominated	YFL049W	
TFIID-dominated	YFL050C	ALR2
TFIID-dominated	YFL051C	
no call	YFL052W	
no call	YFL053W	DAK2
SAGA-dominated	YFL054C	
TFIID-dominated	YFL055W	AGP3
TFIID-dominated	YFL056C	AAD6
TFIID-dominated	YFL057C	
TFIID-dominated	YFL058W	THI5
SAGA/TFIID	YFL059W	SNZ3
SAGA/TFIID	YFL060C	SNO3
SAGA/TFIID	YFL061W	
TFIID-dominated	YFL062W	COS4
no call	YFL063W	
TFIID-dominated	YFL064C	
TFIID-dominated	YFL065C	
TFIID-dominated	YFL066C	
TFIID-dominated	YFL067W	
TFIID-dominated	YFL068W	
SAGA-dominated	YFL-TYA	
no call	YFL-TYB	
TFIID-dominated	YFR001W	LOC1
TFIID-dominated	YFR002W	NIC96
TFIID-dominated	YFR003C	
TFIID-dominated	YFR004W	RPN11
TFIID-dominated	YFR005C	SAD1
TFIID-dominated	YFR006W	
TFIID-dominated	YFR007W	
TFIID-dominated	YFR008W	
TFIID-dominated	YFR009W	GCN20
TFIID-dominated	YFR010W	UBP6
TFIID-dominated	YFR011C	
SAGA/TFIID	YFR012W	
TFIID-dominated	YFR013W	IOC3
TFIID-dominated	YFR014C	CMK1
TFIID-dominated	YFR015C	GSY1
TFIID-dominated	YFR016C	
SAGA-dominated	YFR017C	
TFIID-dominated	YFR018C	
TFIID-dominated	YFR019W	FAB1
TFIID-dominated	YFR020W	
TFIID-dominated	YFR021W	AUT10
SAGA/TFIID	YFR022W	
no call	YFR023W	PES4
TFIID-dominated	YFR024C	YSC85
TFIID-dominated	YFR024C-A	LSB3
TFIID-dominated	YFR025C	HIS2
TFIID-dominated	YFR026C	
TFIID-dominated	YFR027W	ECO1
TFIID-dominated	YFR028C	CDC14
TFIID-dominated	YFR029W	PTR3
TFIID-dominated	YFR030W	MET10
TFIID-dominated	YFR031C	SMC2
TFIID-dominated	YFR031C-A	RPL2A
no call	YFR032C	
TFIID-dominated	YFR032C-A	RPL29
SAGA-dominated	YFR033C	QCR6
no call	YFR034C	PHO4
TFIID-dominated	YFR035C	
TFIID-dominated	YFR036W	CDC26
TFIID-dominated	YFR037C	RSC8
TFIID-dominated	YFR038W	
TFIID-dominated	YFR039C	
TFIID-dominated	YFR040W	SAP155
TFIID-dominated	YFR041C	
TFIID-dominated	YFR042W	
TFIID-dominated	YFR043C	
TFIID-dominated	YFR044C	
TFIID-dominated	YFR045W	
no call	YFR046C	
TFIID-dominated	YFR047C	BNA6
TFIID-dominated	YFR048W	RMD8
TFIID-dominated	YFR049W	YMR31
TFIID-dominated	YFR050C	PRE4
TFIID-dominated	YFR051C	RET2
TFIID-dominated	YFR052W	RPN12
SAGA-dominated	YFR053C	HXK1
no call	YFR054C	
SAGA-dominated	YFR055W	
SAGA-dominated	YFR056C	
no call	YFR057W	
TFIID-dominated	YGL001C	ERG26
TFIID-dominated	YGL002W	ERP6
TFIID-dominated	YGL003C	CDH1
TFIID-dominated	YGL004C	RPN14
TFIID-dominated	YGL005C	COG7
SAGA-dominated	YGL006W	PMC1
TFIID-dominated	YGL007W	
SAGA-dominated	YGL008C	PMA1
TFIID-dominated	YGL009C	LEU1
TFIID-dominated	YGL010W	
TFIID-dominated	YGL011C	SCL1
TFIID-dominated	YGL012W	ERG4
TFIID-dominated	YGL013C	PDR1
TFIID-dominated	YGL014W	PUF4
no call	YGL015C	
TFIID-dominated	YGL016W	KAP122
TFIID-dominated	YGL017W	ATE1
TFIID-dominated	YGL018C	JAC1
TFIID-dominated	YGL019W	CKB1
TFIID-dominated	YGL020C	MDM39
TFIID-dominated	YGL021W	ALK1
TFIID-dominated	YGL022W	STT3
TFIID-dominated	YGL023C	PIB2
TFIID-dominated	YGL024W	
TFIID-dominated	YGL025C	PGD1
TFIID-dominated	YGL026C	TRP5
TFIID-dominated	YGL027C	CWH41
SAGA-dominated	YGL028C	SCW11
TFIID-dominated	YGL029W	CGR1
TFIID-dominated	YGL030W	RPL30
TFIID-dominated	YGL031C	RPL24A
no call	YGL032C	AGA2
no call	YGL033W	HOP2
no call	YGL034C	
TFIID-dominated	YGL035C	MIG1
TFIID-dominated	YGL036W	
SAGA-dominated	YGL037C	PNC1
TFIID-dominated	YGL038C	OCH1
TFIID-dominated	YGL039W	
TFIID-dominated	YGL040C	HEM2
TFIID-dominated	YGL041C	
TFIID-dominated	YGL042C	
TFIID-dominated	YGL043W	DST1
TFIID-dominated	YGL044C	RNA15
SAGA-dominated	YGL045W	RIM8
SAGA-dominated	YGL046W	
TFIID-dominated	YGL047W	
TFIID-dominated	YGL048C	RPT6
SAGA-dominated	YGL049C	TIF4632
TFIID-dominated	YGL050W	
TFIID-dominated	YGL051W	
TFIID-dominated	YGL052W	
TFIID-dominated	YGL053W	PRM8
TFIID-dominated	YGL054C	ERV14
SAGA/TFIID	YGL055W	OLE1
TFIID-dominated	YGL056C	SDS23
TFIID-dominated	YGL057C	
TFIID-dominated	YGL058W	RAD6
TFIID-dominated	YGL059W	
TFIID-dominated	YGL060W	
TFIID-dominated	YGL061C	DUO1
SAGA-dominated	YGL062W	PYC1
SAGA/TFIID	YGL063W	PUS2
TFIID-dominated	YGL064C	MRH4
TFIID-dominated	YGL065C	ALG2
TFIID-dominated	YGL066W	SGF73
TFIID-dominated	YGL067W	NPY1
TFIID-dominated	YGL068W	
TFIID-dominated	YGL069C	
TFIID-dominated	YGL070C	RPB9
TFIID-dominated	YGL071W	RCS1
TFIID-dominated	YGL072C	
TFIID-dominated	YGL073W	HSF1
TFIID-dominated	YGL074C	
TFIID-dominated	YGL075C	MPS2
TFIID-dominated	YGL076C	RPL7A
TFIID-dominated	YGL077C	HNM1
TFIID-dominated	YGL078C	DBP3
TFIID-dominated	YGL079W	
TFIID-dominated	YGL080W	
TFIID-dominated	YGL081W	
TFIID-dominated	YGL082W	
TFIID-dominated	YGL083W	SCY1
TFIID-dominated	YGL084C	GUP1
TFIID-dominated	YGL085W	
TFIID-dominated	YGL086W	MAD1
TFIID-dominated	YGL087C	MMS2
TFIID-dominated	YGL088W	
SAGA/TFIID	YGL089C	MF(ALPHA)2
TFIID-dominated	YGL090W	LIF1
TFIID-dominated	YGL091C	NBP35
TFIID-dominated	YGL092W	NUP145
TFIID-dominated	YGL093W	SPC105
TFIID-dominated	YGL094C	PAN2
TFIID-dominated	YGL095C	VPS45
SAGA/TFIID	YGL096W	TOS8
TFIID-dominated	YGL097W	SRM1
TFIID-dominated	YGL098W	USE1
TFIID-dominated	YGL099W	LSG1
TFIID-dominated	YGL100W	SEH1
TFIID-dominated	YGL101W	
TFIID-dominated	YGL102C	
TFIID-dominated	YGL103W	RPL28
TFIID-dominated	YGL104C	VPS73
TFIID-dominated	YGL105W	ARC1
TFIID-dominated	YGL106W	MLC1
TFIID-dominated	YGL107C	RMD9
TFIID-dominated	YGL108C	
TFIID-dominated	YGL109W	
TFIID-dominated	YGL110C	CUE3
TFIID-dominated	YGL111W	NSA1
TFIID-dominated	YGL112C	TAF6
TFIID-dominated	YGL113W	SLD3
TFIID-dominated	YGL114W	
TFIID-dominated	YGL115W	SNF4
TFIID-dominated	YGL116W	CDC20
SAGA-dominated	YGL117W	
TFIID-dominated	YGL118C	
TFIID-dominated	YGL119W	ABC1
TFIID-dominated	YGL120C	PRP43
SAGA-dominated	YGL121C	GPG1
TFIID-dominated	YGL122C	NAB2
TFIID-dominated	YGL123W	RPS2
TFIID-dominated	YGL124C	MON1
TFIID-dominated	YGL125W	MET13
SAGA/TFIID	YGL126W	SCS3
TFIID-dominated	YGL127C	SOH1
TFIID-dominated	YGL128C	CWC23
TFIID-dominated	YGL129C	RSM23
TFIID-dominated	YGL130W	CEG1
TFIID-dominated	YGL131C	SNT2
TFIID-dominated	YGL132W	
TFIID-dominated	YGL133W	ITC1
TFIID-dominated	YGL134W	PCL10
TFIID-dominated	YGL135W	RPL1B
TFIID-dominated	YGL136C	MRM2
TFIID-dominated	YGL137W	SEC27
TFIID-dominated	YGL138C	
TFIID-dominated	YGL139W	
TFIID-dominated	YGL140C	
TFIID-dominated	YGL141W	HUL5
TFIID-dominated	YGL142C	GPI10
TFIID-dominated	YGL143C	MRF1
TFIID-dominated	YGL144C	
TFIID-dominated	YGL145W	TIP20
no call	YGL146C	
TFIID-dominated	YGL147C	RPL9A
TFIID-dominated	YGL148W	ARO2
TFIID-dominated	YGL149W	
TFIID-dominated	YGL150C	INO80
TFIID-dominated	YGL151W	NUT1
TFIID-dominated	YGL152C	
TFIID-dominated	YGL153W	PEX14
TFIID-dominated	YGL154C	LYS5
TFIID-dominated	YGL155W	CDC43
TFIID-dominated	YGL156W	AMS1
SAGA-dominated	YGL157W	
SAGA-dominated	YGL158W	RCK1
TFIID-dominated	YGL159W	
TFIID-dominated	YGL160W	
TFIID-dominated	YGL161C	YIP5
SAGA-dominated	YGL162W	SUT1
no call	YGL163C	RAD54
TFIID-dominated	YGL164C	
TFIID-dominated	YGL165C	
TFIID-dominated	YGL166W	CUP2
no call	YGL167C	PMR1
TFIID-dominated	YGL168W	HUR1
TFIID-dominated	YGL169W	SUA5
TFIID-dominated	YGL170C	SPO74
TFIID-dominated	YGL171W	ROK1
TFIID-dominated	YGL172W	NUP49
TFIID-dominated	YGL173C	KEM1
TFIID-dominated	YGL174W	BUD13
TFIID-dominated	YGL175C	SAE2
TFIID-dominated	YGL176C	
TFIID-dominated	YGL177W	
TFIID-dominated	YGL178W	MPT5
SAGA/TFIID	YGL179C	
TFIID-dominated	YGL180W	APG1
TFIID-dominated	YGL181W	GTS1
TFIID-dominated	YGL182C	
TFIID-dominated	YGL183C	MND1
SAGA-dominated	YGL184C	STR3
TFIID-dominated	YGL185C	
TFIID-dominated	YGL186C	
TFIID-dominated	YGL187C	COX4
TFIID-dominated	YGL188C	
TFIID-dominated	YGL189C	RPS26A
TFIID-dominated	YGL190C	CDC55
TFIID-dominated	YGL191W	COX13
TFIID-dominated	YGL192W	IME4
TFIID-dominated	YGL193C	
TFIID-dominated	YGL194C	HOS2
TFIID-dominated	YGL195W	GCN1
SAGA/TFIID	YGL196W	
TFIID-dominated	YGL197W	MDS3
TFIID-dominated	YGL198W	YIP4
TFIID-dominated	YGL199C	
TFIID-dominated	YGL200C	EMP24
TFIID-dominated	YGL201C	MCM6
TFIID-dominated	YGL202W	ARO8
TFIID-dominated	YGL203C	KEX1
TFIID-dominated	YGL204C	
TFIID-dominated	YGL205W	POX1
TFIID-dominated	YGL206C	CHC1
TFIID-dominated	YGL207W	SPT16
TFIID-dominated	YGL208W	SIP2
SAGA-dominated	YGL209W	MIG2
TFIID-dominated	YGL210W	YPT32
TFIID-dominated	YGL211W	
TFIID-dominated	YGL212W	VAM7
TFIID-dominated	YGL213C	SKI8
TFIID-dominated	YGL214W	
TFIID-dominated	YGL215W	CLG1
TFIID-dominated	YGL216W	KIP3
TFIID-dominated	YGL217C	
TFIID-dominated	YGL218W	
TFIID-dominated	YGL219C	MDM34
TFIID-dominated	YGL220W	
TFIID-dominated	YGL221C	NIF3
TFIID-dominated	YGL222C	EDC1
TFIID-dominated	YGL223C	COG1
TFIID-dominated	YGL224C	SDT1
TFIID-dominated	YGL225W	VRG4
TFIID-dominated	YGL226C-A	OST5
TFIID-dominated	YGL226W	
no call	YGL227W	VID30
TFIID-dominated	YGL228W	SHE10
TFIID-dominated	YGL229C	SAP4
TFIID-dominated	YGL230C	
TFIID-dominated	YGL231C	
TFIID-dominated	YGL232W	
TFIID-dominated	YGL233W	SEC15
TFIID-dominated	YGL234W	ADE5,7
TFIID-dominated	YGL235W	
TFIID-dominated	YGL236C	MTO1
TFIID-dominated	YGL237C	HAP2
TFIID-dominated	YGL238W	CSE1
TFIID-dominated	YGL239C	
TFIID-dominated	YGL240W	DOC1
TFIID-dominated	YGL241W	KAP114
TFIID-dominated	YGL242C	
TFIID-dominated	YGL243W	TAD1
TFIID-dominated	YGL244W	RTF1
TFIID-dominated	YGL245W	
TFIID-dominated	YGL246C	RAI1
TFIID-dominated	YGL247W	BRR6
SAGA-dominated	YGL248W	PDE1
TFIID-dominated	YGL249W	ZIP2
TFIID-dominated	YGL250W	
TFIID-dominated	YGL251C	HFM1
TFIID-dominated	YGL252C	RTG2
TFIID-dominated	YGL253W	HXK2
TFIID-dominated	YGL254W	FZF1
SAGA/TFIID	YGL255W	ZRT1
TFIID-dominated	YGL256W	ADH4
TFIID-dominated	YGL257C	MNT2
TFIID-dominated	YGL258W	VEL1
TFIID-dominated	YGL259W	YPS5
TFIID-dominated	YGL260W	
SAGA/TFIID	YGL261C	
no call	YGL262W	
no call	YGL263W	COS12
TFIID-dominated	YGR001C	
TFIID-dominated	YGR002C	GOD1
TFIID-dominated	YGR003W	
TFIID-dominated	YGR004W	
TFIID-dominated	YGR005C	TFG2
TFIID-dominated	YGR006W	PRP18
TFIID-dominated	YGR007W	MUQ1
SAGA-dominated	YGR008C	STF2
TFIID-dominated	YGR009C	SEC9
TFIID-dominated	YGR010W	NMA2
TFIID-dominated	YGR011W	
TFIID-dominated	YGR012W	
TFIID-dominated	YGR013W	SNU71
SAGA-dominated	YGR014W	MSB2
TFIID-dominated	YGR015C	
TFIID-dominated	YGR016W	
TFIID-dominated	YGR017W	
TFIID-dominated	YGR018C	
TFIID-dominated	YGR019W	UGA1
TFIID-dominated	YGR020C	VMA7
TFIID-dominated	YGR021W	
TFIID-dominated	YGR022C	
TFIID-dominated	YGR023W	MTL1
TFIID-dominated	YGR024C	
TFIID-dominated	YGR025W	
TFIID-dominated	YGR026W	
TFIID-dominated	YGR027C	RPS25A
TFIID-dominated	YGR028W	MSP1
TFIID-dominated	YGR029W	ERV1
TFIID-dominated	YGR030C	POP6
TFIID-dominated	YGR031W	
SAGA-dominated	YGR032W	GSC2
TFIID-dominated	YGR033C	
TFIID-dominated	YGR034W	RPL26B
TFIID-dominated	YGR035C	
TFIID-dominated	YGR036C	CAX4
TFIID-dominated	YGR037C	ACB1
TFIID-dominated	YGR038W	ORM1
TFIID-dominated	YGR039W	
TFIID-dominated	YGR040W	KSS1
SAGA-dominated	YGR041W	BUD9
TFIID-dominated	YGR042W	
SAGA-dominated	YGR043C	
SAGA-dominated	YGR044C	RME1
TFIID-dominated	YGR045C	
TFIID-dominated	YGR046W	
TFIID-dominated	YGR047C	TFC4
TFIID-dominated	YGR048W	UFD1
SAGA/TFIID	YGR049W	SCM4
TFIID-dominated	YGR050C	
TFIID-dominated	YGR051C	
SAGA-dominated	YGR052W	
TFIID-dominated	YGR053C	
TFIID-dominated	YGR054W	
SAGA-dominated	YGR055W	MUP1
TFIID-dominated	YGR056W	RSC1
TFIID-dominated	YGR057C	LST7
TFIID-dominated	YGR058W	
no call	YGR059W	SPR3
SAGA-dominated	YGR060W	ERG25
TFIID-dominated	YGR061C	ADE6
TFIID-dominated	YGR062C	COX18
TFIID-dominated	YGR063C	SPT4
TFIID-dominated	YGR064W	
TFIID-dominated	YGR065C	VHT1
TFIID-dominated	YGR066C	
TFIID-dominated	YGR067C	
TFIID-dominated	YGR068C	
TFIID-dominated	YGR069W	
TFIID-dominated	YGR070W	ROM1
