	logFC	logCPM	PValue	FDR	de
ENSMUSG00000026121	1.35110137618018	2.45334679670301	9.64464587812311e-08	1.23945879395375e-06	TRUE
ENSMUSG00000046337	0.072405736133776	4.30563978160034	0.779071638229054	0.855614850586837	FALSE
ENSMUSG00000061518	-0.0492947777277137	5.4855304556991	0.769308797124952	0.848011253703168	FALSE
ENSMUSG00000037351	-0.399155998708562	6.56428056381815	0.000895419589415443	0.00408273293043125	TRUE
ENSMUSG00000026117	0.543500155930916	1.99684290454045	0.113945738874606	0.206952215846026	FALSE
ENSMUSG00000026116	0.816461921010219	8.29640094802024	4.45545916472714e-07	5.00745612941677e-06	TRUE
ENSMUSG00000050122	0.54751038073026	4.76325705551457	1.95621585630842e-05	0.000148971693092933	TRUE
ENSMUSG00000026114	-0.25316726185261	2.69291070048329	0.176407448326736	0.288716407566441	FALSE
ENSMUSG00000026113	1.17254442345628	3.92602526139566	3.11441643712486e-08	4.3748315964439e-07	TRUE
ENSMUSG00000026112	-0.298972146531597	6.23702371759351	0.00879151702521041	0.0270923869206686	TRUE
ENSMUSG00000026111	-0.232816145453517	4.81862677669831	0.112271387558541	0.204560254944195	FALSE
ENSMUSG00000026110	0.545560855477377	5.06888017252256	1.18504195110697e-05	9.58216970235876e-05	TRUE
ENSMUSG00000060771	0.673009418723836	2.28203829740546	0.00709481135715703	0.0227783403656516	TRUE
ENSMUSG00000037216	-0.313263803633819	2.45332329568658	0.147406633794796	0.251874668541407	FALSE
ENSMUSG00000026088	-0.0856222942373976	4.50417906631119	0.692474496543541	0.789020040931837	FALSE
ENSMUSG00000026087	-0.383418702971289	5.38246704740627	0.0050073221927535	0.0170781573997593	TRUE
ENSMUSG00000058407	-0.145576791041618	6.27741884091343	0.204304101337228	0.323393218593252	FALSE
ENSMUSG00000026083	0.255390845331638	7.07467842277372	0.116811542607196	0.21134689481597	FALSE
ENSMUSG00000026082	0.396037401566603	6.452842192669	0.0016409092599686	0.00677164656456853	TRUE
ENSMUSG00000037138	1.18657340658079	1.74267030208345	5.00446504221312e-05	0.000340184763730449	TRUE
ENSMUSG00000048814	-0.289108831522277	1.95558128453204	0.198808414681518	0.316733938126634	FALSE
ENSMUSG00000026080	0.202821019689292	1.99546671312995	0.36148845627295	0.495770032173084	FALSE
ENSMUSG00000026078	-0.223078824216523	5.1337871730238	0.102500659506984	0.190394004908998	FALSE
ENSMUSG00000026077	-0.626831928710415	1.2080379049824	0.0987112988456523	0.184955786080411	FALSE
ENSMUSG00000073702	-0.478500964346344	6.13386560466744	0.000799539942084961	0.00371209182979493	TRUE
ENSMUSG00000003134	-0.169269385235042	6.07925967982922	0.134204767359121	0.234329574730503	FALSE
ENSMUSG00000003135	-0.52552660069184	6.00989054045712	3.3821007406292e-05	0.000240603939411318	TRUE
ENSMUSG00000048234	-0.481436842122016	5.0924657286935	8.6889567264196e-05	0.000549580513386522	TRUE
ENSMUSG00000050967	-1.02324193399275	0.737657954183411	0.00653512026237966	0.0212747588067705	TRUE
ENSMUSG00000026074	-0.481039210246359	7.8356136063461	5.79762736299952e-05	0.000387203717612482	TRUE
ENSMUSG00000070942	-1.50008374939221	0.298331448066998	0.000257679607894824	0.00140979787067268	TRUE
ENSMUSG00000045515	-0.127227481525354	0.277167077731186	0.920480203560287	0.952512581840255	FALSE
ENSMUSG00000060679	0.0668991624542473	6.42132046630705	0.542566859694879	0.664626261122447	FALSE
ENSMUSG00000070939	-0.130916320068911	4.13145528142158	0.407956753544468	0.542179537602196	FALSE
ENSMUSG00000010290	-0.489292821563201	5.26089572875231	0.000240596758776951	0.00132690416382086	TRUE
ENSMUSG00000066877	-0.106207724464787	3.9547855366604	0.493800576618676	0.62123006607943	FALSE
ENSMUSG00000057363	0.350265115791844	5.06148292167213	0.0121586317595042	0.0353140133429321	TRUE
ENSMUSG00000041763	-0.0127819760035265	7.66090779160993	0.929805686035238	0.959283473948755	FALSE
ENSMUSG00000047343	0.815996118664322	3.48845161533632	7.45626387256271e-05	0.000481363501321741	TRUE
ENSMUSG00000026049	-0.0908768580755787	4.10582372781685	0.714393960225563	0.805973903718386	FALSE
ENSMUSG00000026047	0.330524403786824	5.7504883502037	0.00526734987001026	0.017797061611953	TRUE
ENSMUSG00000041684	-0.398134313842953	4.51433027855146	0.0134157188668902	0.0382613962618513	TRUE
ENSMUSG00000026048	0.163870104415995	5.44279987529417	0.151889588509455	0.257919057120008	FALSE
ENSMUSG00000056870	0.451546485251237	2.6663863516997	0.0158004423678441	0.0436226843346951	TRUE
ENSMUSG00000026042	0.0368794633276945	3.77134027110077	0.871041472564682	0.918723051830603	FALSE
ENSMUSG00000025995	-0.0269067834715686	7.68168083416749	0.843962045108911	0.900112613594148	FALSE
ENSMUSG00000025993	0.412510143780619	2.33756983978712	0.0598838286268445	0.126159183817757	FALSE
ENSMUSG00000041144	0.679850118646742	0.369693434734359	0.0726016261484534	0.146633510736174	FALSE
ENSMUSG00000101337	0.773528197865985	0.111398477395155	0.0375003790307237	0.0876305846443412	FALSE
ENSMUSG00000025986	0.219178728660631	7.39454307279271	0.103041535766977	0.19111500371299	FALSE
ENSMUSG00000026107	0.487026773823198	5.08867407897671	0.000149874996000436	0.000883304459482622	TRUE
ENSMUSG00000018417	-0.0832887091437097	7.80345631402546	0.524679610850187	0.649490763548376	FALSE
ENSMUSG00000062939	1.11532914516082	4.16734144835048	2.96661719472959e-16	1.01129992608424e-14	TRUE
ENSMUSG00000026104	0.0190651218787512	4.17930822840245	0.960955186217393	0.980438347438139	FALSE
ENSMUSG00000026103	0.331224622522882	6.75150608532179	0.0215896923559596	0.0564196253365801	FALSE
ENSMUSG00000002881	0.795579707111785	4.03704640371376	1.65916382126049e-08	2.43261393558982e-07	TRUE
ENSMUSG00000043015	-0.191069851810208	4.81478070074724	0.133209160821497	0.233091469838808	FALSE
ENSMUSG00000041439	0.638049094444921	2.27324119364206	0.00591633246636098	0.0195616306673567	TRUE
ENSMUSG00000026102	0.681174216000558	1.46822233644273	0.0110402942446783	0.0327230986695558	TRUE
ENSMUSG00000041426	0.202292881291076	4.8014951670282	0.170778241147027	0.281650837560366	FALSE
ENSMUSG00000043629	-0.0911389560220798	6.03932033718438	0.446497986280358	0.577642841653598	FALSE
ENSMUSG00000060715	0.285258820922343	1.25909340872178	0.344325237417413	0.478101891210877	FALSE
ENSMUSG00000026098	0.232152758280952	5.70071100719284	0.0732146241896468	0.147394857432205	FALSE
ENSMUSG00000026097	0.072735345342089	4.31822793540524	0.624870133485446	0.733903213971365	FALSE
ENSMUSG00000026096	-0.0394861315177384	4.19061601565411	0.830031028685872	0.891227323235665	FALSE
ENSMUSG00000026095	-0.555554195247578	3.49448521179865	0.00109530728687519	0.0048259502097999	TRUE
ENSMUSG00000096141	0.686866625031589	1.13559441977762	0.0243639817578995	0.0620757383883575	FALSE
ENSMUSG00000026094	0.0772344108809035	4.92006650691386	0.550674678062706	0.671742916642288	FALSE
ENSMUSG00000042807	0.632480652742451	4.82459059216043	7.6567084288155e-06	6.48022306426075e-05	TRUE
ENSMUSG00000025983	0.0529858554154677	0.691308513354734	0.867163811030023	0.916435926931401	FALSE
ENSMUSG00000041303	-0.24163193087584	6.51428662026053	0.038090458395892	0.0887377848809165	FALSE
ENSMUSG00000073678	0.185869247888419	7.67405833911063	0.112748741546412	0.205293864991995	FALSE
ENSMUSG00000052331	3.07589895299846	4.98231112255307	8.95666314670154e-77	6.47613885838873e-74	TRUE
ENSMUSG00000025982	0.0207560315935965	9.93771746087376	0.880151701082589	0.924216469423878	FALSE
ENSMUSG00000025981	-0.0470144444770473	4.21603085699823	0.789202871903008	0.863353522549377	FALSE
ENSMUSG00000025980	-0.124050465128085	8.51506655374805	0.353466509153279	0.488032452537462	FALSE
ENSMUSG00000073676	-0.328838838811849	6.553276120022	0.0396002451765477	0.0914197750861979	FALSE
ENSMUSG00000025979	0.179831512403032	5.72515249364968	0.173181456827184	0.284657436455116	FALSE
ENSMUSG00000025978	-1.38953545263042	1.56266229040119	4.47341217731474e-06	4.04048234661077e-05	TRUE
ENSMUSG00000046994	0.0684026647136342	5.50786524217888	0.540399926666071	0.662917599119429	FALSE
ENSMUSG00000025977	0.408804597189873	1.39202040088216	0.122130175224298	0.218552083786819	FALSE
ENSMUSG00000038331	0.681387247659132	5.04475954784818	0.000816332136017597	0.00377728894732562	TRUE
ENSMUSG00000038323	-0.235240219292575	4.26869739274647	0.158423578781284	0.266164011898896	FALSE
ENSMUSG00000048495	0.0368616211360805	4.14614304724253	0.7600630631258	0.840517295437675	FALSE
ENSMUSG00000025971	-0.0464849518719677	4.60519912332508	0.77001592057897	0.848382285420956	FALSE
ENSMUSG00000038305	-2.04905136967962	4.23243186664295	1.57027499910952e-40	2.66326394293414e-38	TRUE
ENSMUSG00000054770	-0.22310502695114	5.19429108652954	0.0873025751640425	0.168852988540563	FALSE
ENSMUSG00000026039	-0.195345089669567	6.45143149664434	0.210423874708334	0.330869084438949	FALSE
ENSMUSG00000063558	-0.51986944187982	3.29180631329702	0.0191167596367611	0.0510945610680591	FALSE
ENSMUSG00000064294	-0.73999029235192	5.85569649755944	8.3731533082839e-10	1.45977639783254e-08	TRUE
ENSMUSG00000038242	0.0367017954429728	0.826122295270349	0.817626343888698	0.882576468322695	FALSE
ENSMUSG00000051223	-0.422558563484833	8.42322102223917	0.00360336208538263	0.0130305312790172	TRUE
ENSMUSG00000026034	-0.199352403884102	7.80118883414374	0.114322201253886	0.207471387163262	FALSE
ENSMUSG00000026035	-0.180215628480437	4.73891273927029	0.164975943487275	0.274055563679345	FALSE
ENSMUSG00000026036	-0.0892654451699878	5.8213723399503	0.418485147205888	0.552006620481468	FALSE
ENSMUSG00000026037	-0.0626772273505675	7.2517669044852	0.638188693048005	0.745276799140895	FALSE
ENSMUSG00000038174	0.408395936286749	6.17183970771398	0.000567527584218784	0.00277758958033404	TRUE
ENSMUSG00000026032	-0.227513798629862	4.37616052197227	0.194692145463959	0.311785606136017	FALSE
ENSMUSG00000047528	-0.672407461648555	0.497245556552432	0.0795094209310753	0.157057221459575	FALSE
ENSMUSG00000026031	0.204012375761792	3.29487023492803	0.207537641512883	0.327455164707016	FALSE
ENSMUSG00000026029	-0.255754237141458	2.22893529787434	0.2374945411384	0.361838749712692	FALSE
ENSMUSG00000026028	0.26757078813988	6.24677669686373	0.019361967957795	0.0515993629106087	FALSE
ENSMUSG00000026027	0.00798329855472312	3.2242301203574	0.895222257113696	0.934186355353434	FALSE
ENSMUSG00000038079	0.356243107687224	3.46472292314824	0.0264334685741401	0.0661639115304681	FALSE
ENSMUSG00000079550	0.681228441955726	-0.170180710012976	0.131162721770708	0.230482664579941	FALSE
ENSMUSG00000026024	0.188827658619362	6.54846654109924	0.100011514904089	0.186832290643285	FALSE
ENSMUSG00000026023	4.52037815086755	1.01157751325105	6.09939228542363e-23	3.52073324441806e-21	TRUE
ENSMUSG00000041075	1.72889420164886	6.4370712752652	1.111827743201e-52	3.32049772523812e-50	TRUE
ENSMUSG00000047361	0.999819779834775	2.39357924910549	6.32099550391392e-06	5.47872783802962e-05	TRUE
ENSMUSG00000026021	-0.314289901957558	6.09387130190593	0.0533264644535978	0.115489585356877	FALSE
ENSMUSG00000026020	-0.0173716012973254	9.29959105232538	0.887337451747108	0.929205115641571	FALSE
ENSMUSG00000067336	0.683044191558349	6.5261763430945	2.79370029939291e-07	3.27473163080716e-06	TRUE
ENSMUSG00000041040	0.225206690534076	5.34586372939111	0.107305095380666	0.196766453109445	FALSE
ENSMUSG00000026018	1.14071454851964	2.2347856649734	6.32175098875233e-05	0.000416338519096259	TRUE
