	DMSO.REP1	DMSO.REP2	DMSO.REP3	RA.REP1	RA.REP2	RA.REP3
ENSMUSG00000025968	3294	2998	2919	3343	808	2134
ENSMUSG00000025967	13459	11549	11005	10777	2531	5618
ENSMUSG00000046856	180	208	143	263	70	315
ENSMUSG00000027520	5111	5857	3774	8572	3202	9723
ENSMUSG00000025964	649	736	480	3530	1018	3797
ENSMUSG00000025962	1521	1437	1350	1674	453	1006
ENSMUSG00000025961	19	28	17	16	6	18
ENSMUSG00000025959	292	278	197	258	67	235
ENSMUSG00000025958	1641	1654	1320	1723	519	1258
ENSMUSG00000025956	235	186	166	214	36	154
ENSMUSG00000070871	331	294	249	306	86	203
ENSMUSG00000045005	4695	4261	3885	4277	1001	3353
ENSMUSG00000051344	1220	1299	1096	957	246	925
ENSMUSG00000025955	205	172	165	211	50	111
ENSMUSG00000070870	63	36	39	65	14	25
ENSMUSG00000067299	86	84	93	102	21	58
ENSMUSG00000025952	40	33	35	188	37	93
ENSMUSG00000044816	176	180	156	226	46	123
ENSMUSG00000025950	4661	3972	3921	3697	965	1937
ENSMUSG00000025949	3615	3269	2857	3575	1012	2493
ENSMUSG00000015222	37	53	45	21	12	25
ENSMUSG00000055567	114	106	87	77	23	54
ENSMUSG00000026005	1856	1983	1599	1805	539	1403
ENSMUSG00000026004	1001	1060	714	1148	338	998
ENSMUSG00000026003	120	109	79	99	49	88
ENSMUSG00000026000	659	574	572	629	152	419
ENSMUSG00000025991	34	32	28	22	4	10
ENSMUSG00000025997	61	64	47	77	26	64
ENSMUSG00000053153	18	27	25	27	11	26
ENSMUSG00000026196	1599	1403	1144	1359	377	1296
ENSMUSG00000026192	3977	3581	3431	3824	752	2278
ENSMUSG00000026193	33962	38470	23683	33652	11579	42598
ENSMUSG00000039395	2871	2520	2409	3135	982	2189
ENSMUSG00000026189	264	206	186	238	39	158
ENSMUSG00000026187	4537	4159	3874	3479	953	2262
ENSMUSG00000039354	1077	923	835	897	210	670
ENSMUSG00000046330	801	696	677	691	111	343
ENSMUSG00000039323	7674	5889	5714	6091	1519	3763
ENSMUSG00000026185	53	34	31	16	2	8
ENSMUSG00000055322	1537	1494	1153	1237	345	1630
ENSMUSG00000006304	1778	1521	1481	1249	357	860
ENSMUSG00000006299	2896	2508	2459	2546	478	1443
ENSMUSG00000026179	307	300	258	288	73	217
ENSMUSG00000006301	1135	1035	904	1064	218	886
ENSMUSG00000073650	26	40	23	78	16	64
ENSMUSG00000026177	35	24	16	47	10	44
ENSMUSG00000026176	346	328	307	341	77	268
ENSMUSG00000026175	42	35	36	58	22	73
ENSMUSG00000033364	4527	4224	3829	3834	989	2960
ENSMUSG00000026174	2907	2470	2539	2151	499	1346
ENSMUSG00000026173	40	47	37	51	10	44
ENSMUSG00000026135	727	743	544	669	168	670
ENSMUSG00000026172	410	398	354	346	76	216
ENSMUSG00000026171	498	417	396	466	82	294
ENSMUSG00000033276	90	95	91	77	19	72
ENSMUSG00000033257	3296	3171	2626	3397	859	2738
ENSMUSG00000026170	27	32	22	48	13	33
ENSMUSG00000033227	22	16	15	29	4	26
ENSMUSG00000090071	22	17	17	8	9	21
ENSMUSG00000026162	109	100	90	102	19	70
ENSMUSG00000033159	223	194	175	213	46	138
ENSMUSG00000049339	301	252	244	271	60	186
ENSMUSG00000026197	171	149	150	172	31	119
ENSMUSG00000026198	691	608	562	725	124	454
ENSMUSG00000033124	315	283	254	352	69	306
ENSMUSG00000026199	864	792	660	957	217	529
ENSMUSG00000026200	312	321	234	219	36	179
ENSMUSG00000026201	649	555	522	621	122	396
ENSMUSG00000026202	2395	1845	1947	1844	266	982
ENSMUSG00000096094	42	20	22	32	5	28
ENSMUSG00000026203	215	197	146	192	41	130
ENSMUSG00000026204	66	49	44	121	18	92
ENSMUSG00000026209	2112	1798	1780	1499	293	804
ENSMUSG00000026208	117	114	103	177	42	98
ENSMUSG00000026207	18	18	15	56	9	40
ENSMUSG00000033021	562	473	478	482	95	322
ENSMUSG00000032997	840	702	742	982	214	715
ENSMUSG00000026211	651	540	520	1500	334	1143
ENSMUSG00000051703	31	26	30	34	11	38
ENSMUSG00000032968	27	22	14	68	18	36
ENSMUSG00000026213	942	839	857	1168	233	921
ENSMUSG00000006576	100	66	67	281	46	221
ENSMUSG00000026235	9411	8925	8159	5507	1195	3656
ENSMUSG00000032908	129	169	96	202	70	268
ENSMUSG00000026245	3357	3045	2999	3287	821	2106
ENSMUSG00000090486	20	18	8	14	5	30
ENSMUSG00000032883	2433	2161	1940	2503	754	1518
ENSMUSG00000079470	1629	1546	1244	1491	447	1130
ENSMUSG00000054702	4	5	8	21	14	19
ENSMUSG00000073643	789	722	629	464	107	342
ENSMUSG00000026248	631	539	513	513	97	262
ENSMUSG00000026249	145	125	123	180	52	146
ENSMUSG00000043230	29	23	28	18	1	19
ENSMUSG00000004364	3121	3001	2622	2533	900	1804
ENSMUSG00000038608	18	22	18	76	15	48
ENSMUSG00000055980	37	42	19	23	4	20
ENSMUSG00000026142	553	501	451	523	116	365
ENSMUSG00000067158	18	30	15	22	13	44
ENSMUSG00000026150	1569	1524	1403	1437	378	999
ENSMUSG00000026149	19	35	19	28	8	29
ENSMUSG00000026159	5140	4680	4223	5164	1442	3764
ENSMUSG00000038496	30	28	25	22	11	24
ENSMUSG00000045658	616	596	489	423	112	428
ENSMUSG00000036766	24	19	12	14	1	14
ENSMUSG00000026219	27003	25179	22531	26366	6898	19437
ENSMUSG00000073633	113	82	95	94	28	85
ENSMUSG00000026220	81	88	58	56	17	50
ENSMUSG00000026222	22	17	12	3	1	1
ENSMUSG00000052760	8	8	13	19	4	19
ENSMUSG00000036707	2300	2074	1928	1894	534	1225
ENSMUSG00000026223	498	399	454	708	128	402
ENSMUSG00000026227	4	4	5	25	4	13
ENSMUSG00000026229	5779	5151	4766	4769	1137	2892
ENSMUSG00000026228	94	106	63	123	37	167
ENSMUSG00000062590	504	493	390	527	132	474
ENSMUSG00000079445	818	872	709	3362	610	2233
ENSMUSG00000026234	25072	23544	16803	19282	5859	16729
ENSMUSG00000026238	2878	2892	2709	2318	527	1210
ENSMUSG00000026239	143	110	138	138	37	93
ENSMUSG00000026240	619	580	464	589	134	397
ENSMUSG00000053333	760	734	591	707	164	661
ENSMUSG00000026247	23	24	25	50	9	29
ENSMUSG00000026253	21	6	14	23	3	19
ENSMUSG00000026254	4287	4051	3613	3588	756	2590
ENSMUSG00000026255	35	39	40	33	15	31
ENSMUSG00000048000	3324	3143	2526	2953	786	2354
ENSMUSG00000079436	58	77	34	74	25	87
ENSMUSG00000026288	3785	3265	2996	2817	620	2044
ENSMUSG00000026289	2564	2488	2134	2882	629	2258
ENSMUSG00000056055	41	38	36	56	7	48
ENSMUSG00000070738	1867	1697	1587	1895	361	1409
ENSMUSG00000005501	834	792	655	915	221	755
ENSMUSG00000079429	153	158	107	143	37	122
ENSMUSG00000044783	3695	3319	2913	3442	744	2314
ENSMUSG00000062310	23	16	18	8	4	5
ENSMUSG00000049866	141	136	147	126	22	84
ENSMUSG00000036206	2215	1861	1883	1874	381	1356
ENSMUSG00000055013	1516	1394	1093	1611	410	1765
ENSMUSG00000034486	109	79	80	282	83	241
ENSMUSG00000026301	35	11	17	12	3	21
ENSMUSG00000044337	306	221	232	182	48	129
ENSMUSG00000034432	1305	1229	1227	1200	252	746
ENSMUSG00000048126	63	62	45	56	15	34
ENSMUSG00000026303	20	17	23	25	6	15
ENSMUSG00000026305	177	175	171	210	50	156
ENSMUSG00000070732	99	86	78	134	23	90
ENSMUSG00000034343	483	430	388	533	146	494
ENSMUSG00000026307	293	257	224	289	55	176
ENSMUSG00000047443	129	124	101	130	23	129
ENSMUSG00000026309	1131	965	924	1029	233	703
ENSMUSG00000067071	134	116	130	77	16	48
ENSMUSG00000034292	406	337	290	318	84	277
ENSMUSG00000026311	461	410	379	599	114	375
ENSMUSG00000026313	1076	1092	813	1147	275	1200
ENSMUSG00000026260	2227	2065	1933	1849	474	1124
ENSMUSG00000073616	287	265	266	226	59	136
ENSMUSG00000034220	510	473	471	486	106	324
ENSMUSG00000047067	72	82	88	45	12	27
ENSMUSG00000026269	528	500	427	487	128	513
ENSMUSG00000026270	536	506	462	492	71	313
ENSMUSG00000084989	5	11	6	41	5	43
ENSMUSG00000047793	107	130	94	312	85	318
ENSMUSG00000026273	464	401	361	425	93	269
ENSMUSG00000026274	1411	1266	1094	1214	281	912
ENSMUSG00000026275	1533	1433	1264	1253	317	895
ENSMUSG00000034107	18	19	18	17	11	16
ENSMUSG00000034088	7502	6676	5815	6395	1673	4615
ENSMUSG00000026276	5464	4605	4451	3970	1180	2356
ENSMUSG00000034066	79	81	73	92	22	80
ENSMUSG00000026277	1376	1260	1076	1181	261	846
ENSMUSG00000026278	235	175	211	141	37	112
ENSMUSG00000026279	841	721	671	555	126	437
ENSMUSG00000026280	1257	1245	965	851	220	738
ENSMUSG00000026281	2711	2433	2238	1881	374	1214
ENSMUSG00000026283	2052	1814	1872	1677	345	1125
ENSMUSG00000073609	139	137	147	134	30	113
ENSMUSG00000051185	57	56	56	62	16	29
ENSMUSG00000040710	30	34	22	57	20	50
ENSMUSG00000040693	995	838	810	578	161	346
ENSMUSG00000044768	115	124	95	165	45	158
ENSMUSG00000040648	3167	2861	2699	2962	804	1983
ENSMUSG00000026333	187	170	142	178	51	129
ENSMUSG00000026335	220	221	185	260	64	203
ENSMUSG00000050840	29	32	25	24	3	8
ENSMUSG00000047496	102	86	73	83	31	109
ENSMUSG00000056536	1393	1370	1100	1549	395	1141
ENSMUSG00000026319	2100	2038	1741	2109	590	1569
ENSMUSG00000026321	37	22	22	31	9	19
ENSMUSG00000038866	1014	890	755	900	274	732
ENSMUSG00000044340	833	837	750	512	146	456
ENSMUSG00000009905	699	604	564	535	191	472
