	DMSO.REP1	DMSO.REP2	DMSO.REP3	RA.REP1	RA.REP2	RA.REP3
ENSMUSG00000039826	1659	1511	1464	1315	285	1009
ENSMUSG00000026798	355	247	288	257	38	178
ENSMUSG00000059316	1015	939	871	879	159	625
ENSMUSG00000069020	772	755	732	482	117	369
ENSMUSG00000039787	460	366	317	358	69	271
ENSMUSG00000026790	6306	5686	4909	4458	959	3404
ENSMUSG00000019715	1120	1074	954	1196	235	866
ENSMUSG00000057738	17884	15647	14632	19245	4469	12582
ENSMUSG00000039715	274	212	227	253	41	169
ENSMUSG00000054766	5811	5023	5142	3920	745	2263
ENSMUSG00000026785	482	422	403	498	106	419
ENSMUSG00000015335	515	415	450	439	80	289
ENSMUSG00000039686	366	363	296	394	81	379
ENSMUSG00000039678	3529	3100	2854	1489	285	1082
ENSMUSG00000015337	110	91	96	72	23	75
ENSMUSG00000039660	1000	800	767	831	168	523
ENSMUSG00000039648	243	243	214	204	39	126
ENSMUSG00000007476	211	216	166	204	41	131
ENSMUSG00000079484	38	35	35	36	7	46
ENSMUSG00000075419	254	223	233	254	47	126
ENSMUSG00000052533	4804	4600	3956	3925	941	3698
ENSMUSG00000026860	771	785	726	860	173	544
ENSMUSG00000026858	711	666	563	746	135	562
ENSMUSG00000026856	739	646	654	732	134	469
ENSMUSG00000026853	337	319	261	347	70	307
ENSMUSG00000039515	1853	1664	1530	1653	383	1379
ENSMUSG00000089762	294	207	245	387	85	277
ENSMUSG00000044320	62	73	43	101	16	74
ENSMUSG00000026857	561	414	377	610	90	398
ENSMUSG00000039483	820	731	732	1030	163	634
ENSMUSG00000039476	13	14	8	57	8	40
ENSMUSG00000050737	478	413	401	688	123	464
ENSMUSG00000026848	1479	1476	1370	1761	372	1032
ENSMUSG00000026849	570	485	499	586	119	330
ENSMUSG00000026851	327	309	277	359	69	201
ENSMUSG00000026854	214	190	168	230	36	195
ENSMUSG00000075415	885	833	636	838	273	1250
ENSMUSG00000000194	3196	2944	2516	2810	510	2244
ENSMUSG00000062661	157	135	153	112	22	64
ENSMUSG00000055632	132	123	112	119	25	99
ENSMUSG00000076441	894	837	750	536	101	349
ENSMUSG00000026843	3912	3611	3175	6624	1490	4347
ENSMUSG00000039356	1413	1300	1077	1036	193	739
ENSMUSG00000026842	3059	2754	2552	3297	686	2882
ENSMUSG00000043102	10	13	9	16	7	18
ENSMUSG00000001864	54	51	50	177	28	73
ENSMUSG00000001855	1877	1954	1554	1951	487	2248
ENSMUSG00000050592	382	320	305	329	76	283
ENSMUSG00000051373	39	31	32	29	3	20
ENSMUSG00000039262	6384	6526	4877	3806	1118	5081
ENSMUSG00000039254	954	834	773	1050	234	777
ENSMUSG00000002550	236	201	191	287	55	169
ENSMUSG00000044627	1978	1658	1588	1540	347	831
ENSMUSG00000002546	1132	992	861	935	177	639
ENSMUSG00000026825	59	47	47	60	17	86
ENSMUSG00000039205	292	288	218	306	48	242
ENSMUSG00000039195	156	123	131	129	25	77
ENSMUSG00000026820	337	295	324	266	55	174
ENSMUSG00000026819	512	444	425	435	100	339
ENSMUSG00000039164	218	187	171	140	28	83
ENSMUSG00000039157	1158	1022	936	682	172	561
ENSMUSG00000026810	507	433	454	462	77	250
ENSMUSG00000075405	28	15	18	25	6	13
ENSMUSG00000046854	32	30	17	75	7	37
ENSMUSG00000079442	226	220	194	248	52	175
ENSMUSG00000026811	305	240	233	325	65	193
ENSMUSG00000026817	1655	1488	1547	1246	215	673
ENSMUSG00000026814	843	732	622	975	255	988
ENSMUSG00000009566	1336	1061	1118	1321	255	860
ENSMUSG00000009555	866	761	729	772	176	637
ENSMUSG00000059013	55	37	31	26	12	25
ENSMUSG00000039021	10	11	10	18	5	17
ENSMUSG00000009563	356	347	350	407	78	269
ENSMUSG00000053746	45	46	35	44	7	35
ENSMUSG00000038987	34	39	32	14	5	34
ENSMUSG00000026797	98	109	71	94	27	82
ENSMUSG00000026796	1772	1542	1484	1500	322	1152
ENSMUSG00000026792	448	420	385	430	103	375
ENSMUSG00000038900	3456	3036	2879	3300	559	2100
ENSMUSG00000026791	364	435	382	475	69	302
ENSMUSG00000038860	475	425	334	385	82	380
ENSMUSG00000038831	288	268	190	293	70	301
ENSMUSG00000004105	64	72	29	72	30	145
ENSMUSG00000068966	651	739	494	711	240	996
ENSMUSG00000026788	1903	1769	1525	2086	444	1306
ENSMUSG00000038765	13	25	15	13	6	18
ENSMUSG00000038740	263	280	232	130	36	123
ENSMUSG00000038718	284	233	212	432	111	302
ENSMUSG00000038696	831	749	699	724	188	500
ENSMUSG00000026867	2551	2481	2130	2506	578	1995
ENSMUSG00000026864	12002	9542	10394	15166	3573	8424
ENSMUSG00000070953	455	371	363	470	91	301
ENSMUSG00000035949	2086	1880	1651	1840	442	1365
ENSMUSG00000026869	1531	1311	1301	1248	284	779
ENSMUSG00000026873	49	37	37	151	32	135
ENSMUSG00000026875	28	25	22	48	10	55
ENSMUSG00000057110	2193	2013	1762	2487	658	1848
ENSMUSG00000026878	1695	1582	1356	1720	465	1190
ENSMUSG00000026879	74	61	61	108	21	77
ENSMUSG00000026880	168	186	160	238	68	140
ENSMUSG00000035778	1055	917	805	1379	326	857
ENSMUSG00000026883	1612	1452	1344	1202	269	1020
ENSMUSG00000026895	542	468	463	628	93	377
ENSMUSG00000026890	60	45	41	143	16	94
ENSMUSG00000026889	565	595	508	617	170	393
ENSMUSG00000026887	234	236	226	305	64	155
ENSMUSG00000047250	31	21	22	112	17	81
ENSMUSG00000009030	847	761	680	806	211	448
ENSMUSG00000075376	3308	3049	2524	3043	826	2279
ENSMUSG00000066798	490	471	402	423	128	233
ENSMUSG00000050714	836	730	642	822	198	384
ENSMUSG00000035437	2395	2349	1910	2259	636	1832
ENSMUSG00000026915	2567	2423	2030	2955	870	2426
ENSMUSG00000053164	203	197	138	237	66	261
ENSMUSG00000035403	63	98	82	75	15	91
ENSMUSG00000035392	554	567	408	583	154	664
ENSMUSG00000000247	44	28	28	38	9	17
ENSMUSG00000026749	690	650	523	1105	278	1096
ENSMUSG00000026750	2099	1900	1713	2148	453	1243
ENSMUSG00000063972	2086	1845	1741	4943	1155	3323
ENSMUSG00000046618	3	3	2	15	6	26
ENSMUSG00000035295	133	119	114	116	30	86
ENSMUSG00000062997	528	490	417	394	70	171
ENSMUSG00000026755	835	738	754	754	179	415
ENSMUSG00000026754	472	412	332	478	106	369
ENSMUSG00000035236	901	892	667	1079	387	789
ENSMUSG00000026753	2220	1815	1816	1626	471	1036
ENSMUSG00000049252	15	21	10	28	7	16
ENSMUSG00000036890	259	250	208	272	89	218
ENSMUSG00000026872	15	11	4	24	5	29
ENSMUSG00000052155	863	889	700	995	337	814
ENSMUSG00000026761	1180	1116	1012	1249	414	904
ENSMUSG00000036792	654	673	481	683	204	594
ENSMUSG00000069495	1454	1435	1291	1530	468	1042
ENSMUSG00000026764	447	422	341	424	106	339
ENSMUSG00000050447	12	16	21	24	3	14
ENSMUSG00000026766	721	634	574	590	138	379
ENSMUSG00000017144	2620	2284	2230	1181	306	631
ENSMUSG00000036249	83	48	55	55	20	39
ENSMUSG00000026946	31	26	24	12	6	6
ENSMUSG00000053475	30	33	34	16	3	18
ENSMUSG00000036202	28979	28303	24837	28899	8651	21357
ENSMUSG00000026950	488	528	333	382	103	346
ENSMUSG00000036093	1309	1153	1102	1271	366	679
ENSMUSG00000017412	38	24	28	35	16	41
ENSMUSG00000055371	1260	1046	992	1169	300	762
ENSMUSG00000036053	1774	1650	1472	1423	447	1191
ENSMUSG00000061136	5277	5108	4370	5094	1538	3327
ENSMUSG00000026960	947	860	851	825	232	552
ENSMUSG00000075334	20	13	12	19	8	14
ENSMUSG00000026824	34	34	26	37	11	25
ENSMUSG00000026826	24	26	19	23	10	19
ENSMUSG00000026827	3741	3539	3248	4170	926	2878
ENSMUSG00000026836	162	172	111	171	64	197
ENSMUSG00000026991	3373	3186	2801	2693	808	2215
ENSMUSG00000035168	3477	3167	2672	3219	788	3007
ENSMUSG00000026988	214	209	188	161	39	112
ENSMUSG00000026987	4670	4483	3530	3429	889	2931
ENSMUSG00000026977	4486	4158	3842	3963	1177	2594
ENSMUSG00000060703	96	74	81	83	30	50
ENSMUSG00000026980	7775	7031	6203	4648	1254	3204
ENSMUSG00000054580	35	31	21	18	1	16
ENSMUSG00000026970	1310	1179	1042	1246	304	947
ENSMUSG00000064289	251	174	199	286	90	192
ENSMUSG00000026914	2897	2627	2464	2285	544	1281
ENSMUSG00000035033	15	24	13	14	9	31
ENSMUSG00000026904	148	143	132	113	37	86
ENSMUSG00000035000	2394	2307	1995	5745	1716	3900
ENSMUSG00000026893	139	144	107	301	83	296
ENSMUSG00000059742	25	32	11	96	27	129
ENSMUSG00000075324	36	31	19	28	3	22
ENSMUSG00000034903	19	24	21	29	16	52
ENSMUSG00000057182	654	655	573	784	196	608
ENSMUSG00000075318	20	24	15	20	8	17
ENSMUSG00000044647	227	261	183	345	81	251
ENSMUSG00000026994	16	13	14	33	10	17
ENSMUSG00000034848	36	40	31	63	19	42
ENSMUSG00000027030	49	54	43	36	6	26
ENSMUSG00000027035	2412	2249	1954	3094	847	2527
ENSMUSG00000034738	11	14	7	32	5	30
ENSMUSG00000005233	898	828	858	967	259	504
ENSMUSG00000027070	3296	3185	2681	10371	2318	7205
ENSMUSG00000063145	158	135	113	170	36	90
ENSMUSG00000027086	673	649	558	475	97	327
ENSMUSG00000042133	1765	1625	1337	1764	544	1169
ENSMUSG00000070883	35	25	35	41	7	25
ENSMUSG00000027088	341	294	296	289	83	155
ENSMUSG00000042155	111	89	97	159	28	87
ENSMUSG00000068882	4802	4004	3945	4347	1515	2262
ENSMUSG00000051730	588	548	526	635	129	373
ENSMUSG00000044308	3610	3462	2752	4049	1260	3420
ENSMUSG00000070880	41	32	27	19	2	14
ENSMUSG00000014959	1177	1027	1007	871	217	618
ENSMUSG00000041997	2141	2106	1694	2036	754	1718
ENSMUSG00000041975	324	245	277	301	77	253
ENSMUSG00000041966	1352	1189	1067	1055	305	833
ENSMUSG00000027015	15	13	13	19	7	11
ENSMUSG00000027012	1901	1643	1546	1597	343	921
ENSMUSG00000027010	1008	957	855	908	233	698
ENSMUSG00000027018	6380	5474	5635	5136	1357	2965
ENSMUSG00000041921	489	483	388	504	136	414
ENSMUSG00000027111	6666	5971	5423	7708	1829	5108
ENSMUSG00000006494	1027	730	666	2610	653	1620
ENSMUSG00000049044	17	11	7	10	5	14
ENSMUSG00000004085	537	524	412	603	146	574
ENSMUSG00000055612	2627	2233	2276	2313	407	1296
ENSMUSG00000027109	3738	3433	3130	3603	1108	2164
ENSMUSG00000027108	1626	1519	1413	1333	329	748
ENSMUSG00000041777	54	37	39	66	18	42
ENSMUSG00000008226	340	303	269	223	67	168
ENSMUSG00000075284	105	126	93	106	39	123
ENSMUSG00000056486	874	790	685	666	217	509
ENSMUSG00000027104	1949	1943	1520	1657	462	1339
ENSMUSG00000018770	3463	3119	2909	2613	494	1278
ENSMUSG00000009207	857	891	670	909	269	659
ENSMUSG00000001819	45	48	52	47	19	39
ENSMUSG00000042499	12	11	10	20	6	22
ENSMUSG00000043342	34	30	45	36	7	21
ENSMUSG00000027102	42	39	40	47	12	27
ENSMUSG00000027099	769	651	658	773	211	463
ENSMUSG00000059005	983	922	744	915	279	838
ENSMUSG00000015839	2625	2365	2091	1639	392	966
ENSMUSG00000042410	4109	3734	3531	4146	1124	2673
ENSMUSG00000075273	65	69	53	52	16	44
ENSMUSG00000075271	177	164	157	177	54	80
ENSMUSG00000075270	7	11	6	18	4	25
ENSMUSG00000056436	136	108	130	117	46	84
ENSMUSG00000042369	920	909	867	701	176	419
ENSMUSG00000042359	47	42	27	33	8	32
ENSMUSG00000002731	91	65	65	76	28	55
ENSMUSG00000002732	34	27	32	27	9	31
ENSMUSG00000002733	688	571	529	438	120	309
ENSMUSG00000051747	38741	40108	29879	29317	7843	21859
ENSMUSG00000044033	470	475	334	176	54	167
ENSMUSG00000042272	505	505	409	555	162	499
ENSMUSG00000027014	920	940	757	797	194	645
ENSMUSG00000027011	622	578	523	516	158	283
ENSMUSG00000027009	42	39	41	28	6	32
ENSMUSG00000075256	38	41	48	30	8	26
ENSMUSG00000034701	16	8	17	18	4	11
ENSMUSG00000027007	637	578	497	491	121	506
ENSMUSG00000050114	187	145	143	170	34	94
ENSMUSG00000027006	2375	2112	2134	2595	644	1552
ENSMUSG00000027002	4198	3822	3698	3433	974	2328
ENSMUSG00000027001	110	92	71	117	26	56
ENSMUSG00000026999	304	297	264	421	83	309
ENSMUSG00000027091	1812	1738	1663	1715	502	1057
ENSMUSG00000027087	3192	3143	2400	2774	969	2631
ENSMUSG00000048388	59	50	60	269	70	181
ENSMUSG00000027082	1454	1478	1281	2033	620	1256
ENSMUSG00000034101	814	725	623	666	164	515
ENSMUSG00000086598	223	214	215	242	44	167
ENSMUSG00000076437	2180	1796	1839	1595	348	807
ENSMUSG00000050043	559	549	492	537	111	327
ENSMUSG00000027080	917	847	747	744	192	432
ENSMUSG00000034075	1662	1607	1437	1650	410	1172
ENSMUSG00000027079	870	755	711	699	123	343
ENSMUSG00000034059	216	215	176	220	63	270
ENSMUSG00000097187	154	128	122	157	28	166
ENSMUSG00000023224	286	279	259	147	28	118
ENSMUSG00000027078	338	283	308	363	63	230
ENSMUSG00000027077	592	434	499	561	111	322
ENSMUSG00000027076	441	397	360	415	116	225
ENSMUSG00000027075	374	317	266	690	115	453
ENSMUSG00000027074	85	100	77	72	29	72
ENSMUSG00000027071	130	161	105	130	42	140
ENSMUSG00000027067	8672	7728	7224	6640	1413	3968
ENSMUSG00000033955	1870	1503	1408	1480	345	1295
ENSMUSG00000025839	1358	1265	1275	1090	264	593
ENSMUSG00000025838	971	850	856	618	148	383
ENSMUSG00000061520	68	59	48	69	13	61
ENSMUSG00000075156	21	38	19	39	15	48
ENSMUSG00000025314	1173	1027	908	951	221	697
ENSMUSG00000051329	4075	3853	3252	3550	1064	2903
ENSMUSG00000008200	2748	2513	2130	2529	641	1935
ENSMUSG00000040812	13	11	14	37	9	33
ENSMUSG00000027282	3253	2842	2698	3870	1036	2434
ENSMUSG00000040794	19	10	13	14	3	19
ENSMUSG00000005510	477	399	414	418	116	270
ENSMUSG00000005505	503	439	424	558	107	313
ENSMUSG00000005506	4958	4820	4106	4632	1115	3732
ENSMUSG00000002104	150	157	149	92	20	43
ENSMUSG00000002102	6062	5478	5210	4931	999	2820
ENSMUSG00000002105	292	311	251	243	68	186
ENSMUSG00000002111	31	25	28	6	3	8
ENSMUSG00000002100	80	56	51	41	8	38
ENSMUSG00000040687	475	486	377	401	85	362
ENSMUSG00000002108	31	29	23	12	8	14
ENSMUSG00000002103	500	521	440	524	126	451
ENSMUSG00000002109	274	243	205	261	50	178
ENSMUSG00000027257	192	173	152	157	23	98
ENSMUSG00000027255	310	308	221	262	58	253
ENSMUSG00000040591	264	276	189	206	57	165
ENSMUSG00000027253	717	623	518	806	179	573
ENSMUSG00000040549	6308	5520	5193	5550	1378	3649
ENSMUSG00000027249	123	110	94	86	16	76
ENSMUSG00000075040	583	565	501	501	85	337
ENSMUSG00000027247	1399	1198	1177	997	181	606
ENSMUSG00000027244	1344	1329	1126	689	166	745
ENSMUSG00000027243	373	280	310	317	53	213
ENSMUSG00000040506	1303	1325	1029	1261	324	1461
ENSMUSG00000040495	19	18	19	37	7	42
ENSMUSG00000027239	1444	1309	1231	2304	471	1327
ENSMUSG00000040479	1338	1175	1122	1648	338	1240
ENSMUSG00000095332	32	22	21	44	13	48
ENSMUSG00000027230	17	13	14	60	11	44
ENSMUSG00000058318	648	670	514	912	262	944
ENSMUSG00000040434	252	164	183	247	61	186
ENSMUSG00000027222	286	257	225	272	41	153
ENSMUSG00000044916	30	26	12	23	0	24
ENSMUSG00000027223	212	196	257	299	65	206
ENSMUSG00000068742	400	364	309	316	73	368
ENSMUSG00000049922	95	90	88	107	38	105
ENSMUSG00000075028	77	58	56	113	19	93
ENSMUSG00000068735	133	134	129	224	50	201
ENSMUSG00000027217	3	6	5	8	7	18
ENSMUSG00000027215	14	14	10	16	6	18
ENSMUSG00000027198	1099	938	849	999	259	927
ENSMUSG00000040272	187	218	183	211	36	178
ENSMUSG00000075023	546	519	503	662	130	435
ENSMUSG00000040174	423	434	324	489	107	392
ENSMUSG00000027195	1401	1327	1212	1582	429	951
ENSMUSG00000027194	784	786	589	733	230	694
ENSMUSG00000027193	3250	2932	2889	2958	809	1768
ENSMUSG00000075015	24	39	17	38	26	35
ENSMUSG00000075014	235	304	157	564	232	895
ENSMUSG00000027165	135	105	99	116	39	86
ENSMUSG00000027164	823	825	711	695	159	451
ENSMUSG00000032841	149	140	122	83	17	60
ENSMUSG00000027163	211	228	195	175	42	83
ENSMUSG00000048058	261	277	237	647	134	497
ENSMUSG00000027189	764	714	643	1910	461	1348
ENSMUSG00000075012	47	54	53	192	56	135
ENSMUSG00000010914	956	849	785	908	191	544
ENSMUSG00000010911	212	229	230	202	46	81
ENSMUSG00000012350	48	27	47	5	1	4
ENSMUSG00000027187	2339	1988	1935	1435	251	861
ENSMUSG00000032724	279	267	220	266	46	211
ENSMUSG00000027185	3161	2955	2561	2780	572	2128
ENSMUSG00000027184	17921	16082	15037	16030	4855	10673
ENSMUSG00000032698	14	14	19	15	2	6
ENSMUSG00000046085	21	13	18	15	6	7
ENSMUSG00000027180	1222	1028	999	978	279	607
ENSMUSG00000068686	51	50	43	35	8	33
ENSMUSG00000032679	195	164	164	103	21	84
ENSMUSG00000068373	49	50	49	28	5	38
ENSMUSG00000027177	811	698	677	787	256	582
ENSMUSG00000027176	1327	1288	1076	1188	375	1032
ENSMUSG00000027175	61	55	41	71	21	90
ENSMUSG00000074997	67	57	44	47	12	26
ENSMUSG00000027173	373	360	316	369	93	192
ENSMUSG00000074994	1164	1308	916	1183	502	1396
ENSMUSG00000027171	306	295	281	387	72	284
ENSMUSG00000045106	307	334	262	381	130	326
ENSMUSG00000027170	1694	1537	1488	1499	360	828
ENSMUSG00000016458	16	19	6	46	12	46
ENSMUSG00000005973	3716	3144	3118	1958	508	1138
ENSMUSG00000027168	22	31	20	143	26	70
ENSMUSG00000027167	428	379	359	411	107	274
ENSMUSG00000042670	98	90	83	82	26	53
ENSMUSG00000027166	195	178	172	174	38	139
ENSMUSG00000016386	168	159	132	277	78	374
ENSMUSG00000027122	2847	2557	2317	2725	689	1458
ENSMUSG00000057234	131	120	117	119	32	78
ENSMUSG00000027115	1757	1687	1416	1740	526	1117
ENSMUSG00000048482	46	45	29	32	16	27
ENSMUSG00000027162	2656	2401	2244	2577	746	1367
ENSMUSG00000050199	1988	1947	1724	2163	646	1536
ENSMUSG00000027160	459	392	396	393	127	245
ENSMUSG00000074968	54	78	44	113	28	82
ENSMUSG00000027134	123	105	93	169	25	107
ENSMUSG00000027133	1310	1079	1198	1458	336	600
ENSMUSG00000027130	1014	1016	877	809	217	596
ENSMUSG00000027131	478	405	390	421	62	254
ENSMUSG00000027132	596	553	480	627	200	418
ENSMUSG00000055943	574	557	525	669	173	388
ENSMUSG00000003604	834	787	810	1097	266	849
ENSMUSG00000057378	318	306	255	951	205	582
ENSMUSG00000044042	297	271	226	72	37	89
ENSMUSG00000041219	1493	1468	1013	1408	434	1082
ENSMUSG00000068614	16	15	15	17	0	6
ENSMUSG00000040383	3655	3229	2962	3300	878	2176
ENSMUSG00000040321	728	656	599	709	192	420
ENSMUSG00000057147	481	489	405	435	130	393
ENSMUSG00000040282	441	442	353	416	104	429
ENSMUSG00000027210	1432	1499	1154	1733	486	1723
ENSMUSG00000027351	659	710	582	2184	685	1532
ENSMUSG00000027349	170	187	143	186	56	194
ENSMUSG00000027347	194	191	155	28	7	33
ENSMUSG00000040152	35	34	22	69	23	65
ENSMUSG00000005102	1086	913	909	878	218	687
ENSMUSG00000009549	952	804	812	987	246	553
ENSMUSG00000040093	234	235	183	314	70	199
ENSMUSG00000040084	4818	4153	4012	4340	887	2661
ENSMUSG00000074923	22	22	10	17	3	16
ENSMUSG00000045838	46	44	36	71	7	32
ENSMUSG00000027331	1002	843	822	955	226	694
ENSMUSG00000027332	993	883	841	861	147	579
ENSMUSG00000040007	248	186	212	185	40	192
ENSMUSG00000074916	55	49	47	48	12	42
ENSMUSG00000039983	177	137	125	146	29	74
ENSMUSG00000027324	453	375	326	326	100	301
ENSMUSG00000027326	3181	2903	2494	3035	1042	2284
ENSMUSG00000027323	1415	1269	925	1157	431	1084
ENSMUSG00000070730	830	747	717	853	217	608
ENSMUSG00000034278	207	189	162	158	35	98
ENSMUSG00000055926	49	25	31	36	3	24
ENSMUSG00000068580	255	190	187	181	39	140
ENSMUSG00000027317	145	118	138	47	14	23
ENSMUSG00000027315	3081	2695	2807	2337	493	1386
ENSMUSG00000034226	63	50	39	61	9	51
ENSMUSG00000034216	601	582	486	457	76	298
ENSMUSG00000027313	1375	1248	1260	1021	215	719
ENSMUSG00000034154	2899	2861	2226	2822	763	2604
ENSMUSG00000048647	33	34	37	30	11	19
ENSMUSG00000014077	575	517	471	478	109	297
ENSMUSG00000072980	483	407	402	333	68	227
ENSMUSG00000027306	1898	1632	1619	1446	412	823
ENSMUSG00000027305	488	385	410	374	79	228
ENSMUSG00000027304	972	869	722	735	182	612
ENSMUSG00000027296	312	241	241	233	46	126
ENSMUSG00000027297	67	75	89	57	18	50
ENSMUSG00000034032	3570	3304	2913	2421	505	2181
ENSMUSG00000027298	3125	2749	2558	1640	349	1102
ENSMUSG00000033943	16246	16387	13174	14307	4252	11545
ENSMUSG00000033902	382	349	317	308	70	301
ENSMUSG00000098789	54	37	45	45	17	33
ENSMUSG00000098488	35	38	33	61	5	46
ENSMUSG00000074899	12	18	9	18	3	23
ENSMUSG00000027293	632	536	446	472	116	423
ENSMUSG00000050211	170	199	167	18	3	13
ENSMUSG00000046971	42	41	24	32	4	19
ENSMUSG00000027291	904	781	729	788	173	546
ENSMUSG00000033808	2155	2227	1860	2239	577	1527
ENSMUSG00000062646	177	151	155	154	34	85
ENSMUSG00000079110	76	97	61	306	51	211
ENSMUSG00000027288	12165	10796	9629	10055	2573	7498
ENSMUSG00000027287	981	893	772	754	149	446
ENSMUSG00000027286	373	346	311	305	75	187
ENSMUSG00000027285	978	942	847	628	129	377
ENSMUSG00000033705	682	645	458	638	178	551
ENSMUSG00000027284	765	707	600	717	168	559
ENSMUSG00000090100	538	527	427	509	136	367
ENSMUSG00000027272	2040	1969	1660	1909	566	1451
ENSMUSG00000054484	147	146	138	130	17	114
ENSMUSG00000023572	506	456	420	431	89	251
ENSMUSG00000074890	218	166	190	121	38	90
ENSMUSG00000027259	837	761	693	632	141	430
ENSMUSG00000050619	418	462	355	367	104	286
ENSMUSG00000027263	1131	1007	886	961	211	722
ENSMUSG00000043909	1771	1699	1391	1124	297	1008
ENSMUSG00000027254	243	272	197	356	101	408
ENSMUSG00000033526	642	560	506	408	118	379
ENSMUSG00000000308	819	621	648	236	48	128
ENSMUSG00000033486	72	74	52	54	9	48
ENSMUSG00000027248	7805	7314	6553	7727	1969	6226
ENSMUSG00000074884	420	344	357	272	65	188
ENSMUSG00000027245	174	196	142	194	50	128
ENSMUSG00000048222	325	280	269	292	54	147
ENSMUSG00000068479	459	457	411	369	87	240
ENSMUSG00000027242	2987	2519	2362	1621	396	1227
ENSMUSG00000027238	194	214	149	174	62	232
ENSMUSG00000060227	1384	1337	1176	1253	362	878
ENSMUSG00000033411	2900	2701	2318	2580	811	1928
ENSMUSG00000027236	425	449	344	417	132	332
ENSMUSG00000033396	1897	1796	1591	1477	331	1234
ENSMUSG00000027233	221	215	197	53	9	32
ENSMUSG00000060802	233	217	199	151	39	63
ENSMUSG00000027229	43	28	40	39	10	32
ENSMUSG00000027227	327	327	314	250	57	191
ENSMUSG00000033268	92	102	72	23	9	17
ENSMUSG00000033256	304	320	282	67	22	59
ENSMUSG00000033213	305	306	301	29	7	18
ENSMUSG00000005802	310	328	306	284	99	170
ENSMUSG00000005804	254	181	231	189	36	103
ENSMUSG00000035183	75	69	68	95	28	93
ENSMUSG00000027201	1661	1560	1217	1463	430	1032
ENSMUSG00000027202	12	15	8	24	11	40
ENSMUSG00000027203	4501	3701	4061	3515	926	2052
ENSMUSG00000027204	169	190	143	194	56	146
ENSMUSG00000068394	888	822	687	872	213	730
ENSMUSG00000091337	99	73	62	87	22	43
ENSMUSG00000035093	1112	1042	951	1043	258	714
ENSMUSG00000027206	3821	3260	3322	3558	1127	2101
ENSMUSG00000027207	653	617	571	506	123	411
ENSMUSG00000023330	92	96	97	77	18	52
ENSMUSG00000027359	357	334	303	390	126	268
ENSMUSG00000027361	887	801	747	917	255	634
ENSMUSG00000027363	1876	1724	1410	1714	451	1162
ENSMUSG00000027364	49	69	32	68	18	42
ENSMUSG00000027365	5452	5080	4539	5129	1405	3526
ENSMUSG00000027366	671	641	566	779	234	547
ENSMUSG00000001998	718	717	640	698	159	644
ENSMUSG00000001999	183	163	179	150	36	88
ENSMUSG00000034906	1858	1635	1591	1639	441	1047
ENSMUSG00000074825	201	154	173	193	26	111
ENSMUSG00000044145	78	88	69	85	27	80
ENSMUSG00000003660	12598	11112	10154	10301	2391	6890
ENSMUSG00000003662	992	840	828	973	229	640
ENSMUSG00000034850	756	698	659	880	200	616
ENSMUSG00000027367	1325	1211	1175	1394	357	951
ENSMUSG00000046338	491	465	396	812	131	551
ENSMUSG00000027371	219	176	185	220	34	152
ENSMUSG00000079056	31	18	27	29	6	23
ENSMUSG00000034800	178	167	136	162	41	90
ENSMUSG00000027374	2012	1772	1594	1532	353	917
ENSMUSG00000027375	70	64	48	7	4	2
ENSMUSG00000027377	19	14	23	76	18	60
ENSMUSG00000027378	184	174	162	197	57	138
ENSMUSG00000051319	244	189	265	213	38	150
ENSMUSG00000027379	3686	3164	2992	3753	1036	2180
ENSMUSG00000027380	38	50	29	25	5	23
ENSMUSG00000027381	314	319	217	465	96	407
ENSMUSG00000014355	6079	5703	4910	5591	1431	4198
ENSMUSG00000014361	80	67	61	117	25	112
ENSMUSG00000014353	1180	1032	962	1219	291	788
ENSMUSG00000027387	371	291	314	379	96	235
ENSMUSG00000074807	44	39	43	21	9	19
ENSMUSG00000042851	49	26	23	27	13	26
ENSMUSG00000027394	935	831	714	642	143	412
ENSMUSG00000027395	2538	2340	2080	2141	403	1563
ENSMUSG00000037938	540	486	432	509	107	268
ENSMUSG00000027397	7057	6736	6006	7198	1526	4603
ENSMUSG00000048327	1036	986	924	1020	283	630
ENSMUSG00000037902	567	543	437	245	73	188
ENSMUSG00000027400	13	0	2	115	30	99
ENSMUSG00000037885	1738	1592	1444	1254	348	1097
ENSMUSG00000027401	35	37	34	65	11	32
ENSMUSG00000027404	4444	3938	4126	3866	719	2247
ENSMUSG00000027405	8253	7555	6871	9148	1970	5836
ENSMUSG00000027406	2682	2403	2254	2709	606	1601
ENSMUSG00000053552	54	37	30	54	16	61
ENSMUSG00000027408	1089	953	843	873	147	586
ENSMUSG00000037773	241	233	184	357	84	225
ENSMUSG00000027411	1791	1531	1428	1774	355	1144
ENSMUSG00000027303	614	540	484	517	125	421
ENSMUSG00000037740	360	312	334	346	60	199
ENSMUSG00000027300	420	368	386	371	89	287
ENSMUSG00000079043	307	251	243	323	87	168
ENSMUSG00000037703	161	110	124	110	20	91
ENSMUSG00000068290	526	471	379	391	89	302
ENSMUSG00000074797	544	508	525	451	81	215
ENSMUSG00000074796	450	403	372	478	108	396
ENSMUSG00000027309	628	551	451	439	119	406
ENSMUSG00000027312	1111	1047	915	1159	280	1016
ENSMUSG00000027316	36	34	35	58	12	29
ENSMUSG00000027318	11	16	13	23	3	22
ENSMUSG00000027322	4	9	4	24	3	22
ENSMUSG00000074793	44	40	32	96	21	130
